id,book,idx,perseus_n,status,reason,dur,lead,trail,speech,peak,trimmed_dur,text,text_scanned,wav,clean_wav,text_clean,split
b1_l1,1,1,1,ok,,5.944,0.000,0.524,5.420,-14.5,5.430,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,data/iliad/raw/Homer/Iliad/book_1/line_1.mp4,data/iliad/wavs/b1_l1.wav,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,test
b1_l2,1,2,2,ok,,5.944,0.180,1.424,4.340,-15.2,4.570,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,","οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,",data/iliad/raw/Homer/Iliad/book_1/line_2.mp4,data/iliad/wavs/b1_l2.wav,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,",test
b1_l3,1,3,3,ok,,5.944,0.160,1.364,4.420,-15.2,4.630,πολλὰς δ’ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,πολλὰς δ’ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,data/iliad/raw/Homer/Iliad/book_1/line_3.mp4,data/iliad/wavs/b1_l3.wav,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,test
b1_l4,1,4,4,ok,,5.944,0.120,1.324,4.500,-16.0,4.730,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν","ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν",data/iliad/raw/Homer/Iliad/book_1/line_4.mp4,data/iliad/wavs/b1_l4.wav,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν",test
b1_l5,1,5,5,ok,,5.944,0.160,0.544,5.240,-14.2,5.450,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ἐτελείετο βουλή,","οἰωνοῖσί τε πᾶσι, Διὸς δ’ἐτελείετο βουλή,",data/iliad/raw/Homer/Iliad/book_1/line_5.mp4,data/iliad/wavs/b1_l5.wav,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,",test
b1_l6,1,6,6,ok,,5.944,0.120,1.464,4.360,-16.5,4.610,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,data/iliad/raw/Homer/Iliad/book_1/line_6.mp4,data/iliad/wavs/b1_l6.wav,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,test
b1_l7,1,7,7,ok,,5.944,0.180,1.164,4.600,-16.0,4.790,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,data/iliad/raw/Homer/Iliad/book_1/line_7.mp4,data/iliad/wavs/b1_l7.wav,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,test
b1_l8,1,8,8,ok,,5.944,0.160,1.244,4.540,-17.0,4.750,τίς τ’ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,τίς τ’ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,data/iliad/raw/Homer/Iliad/book_1/line_8.mp4,data/iliad/wavs/b1_l8.wav,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,test
b1_l9,1,9,9,ok,,5.944,0.140,0.384,5.420,-15.4,5.610,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς,data/iliad/raw/Homer/Iliad/book_1/line_9.mp4,data/iliad/wavs/b1_l9.wav,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς,test
b1_l10,1,10,10,ok,,5.944,0.120,1.304,4.520,-13.2,4.730,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,","νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,",data/iliad/raw/Homer/Iliad/book_1/line_10.mp4,data/iliad/wavs/b1_l10.wav,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,",test
