work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Phaenomena,1,1,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ε:L:position ι:S:lexicon ο:S:nature α:L:position ω:L:nature ε:L:position α:S:antepenult_accent ο:S:nature ου:L:nature ε:S:nature ο:S:nature α:L:lexicon ε:S:nature ε:S:nature ω:L:nature ε:L:line_final,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaenomena,1,2,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,1,,α:L:position η:L:nature ο:L:position ε:L:position αι:L:nature ε:S:nature ι:S:lexicon ο:L:position α:L:lexicon αι:L:nature ε:S:nature α:S:unknown υι:L:nature αι:L:line_final,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaenomena,1,3,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,1,,α:L:lexicon αι:L:nature α:L:position ω:L:nature ω:L:nature α:S:unknown ο:S:nature αι:L:nature ε:L:position η:L:nature ε:S:nature α:S:lexicon α:L:position α:L:lexicon,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaenomena,1,4,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,1,,αι:L:nature ι:S:unknown ε:S:nature ε:L:position α:L:position η:L:nature ε:S:nature ι:S:lexicon ο:L:position ε:L:position η:L:nature ε:S:nature α:S:antepenult_accent α:L:lexicon ε:L:line_final,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaenomena,1,5,True,LLLSSLSSLSSLLLL,LLLSSLSSLSSLLLL,1.5,1,0,,ου:L:nature α:L:lexicon αι:L:nature ε:S:nature ο:S:nature ει:L:nature ε:S:nature ο:S:nature η:L:nature ι:S:lexicon ο:S:nature α:L:position ω:L:nature οι:L:nature ι:L:lexicon,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaenomena,1,6,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,2,,ε:L:position ι:S:unknown α:S:unknown η:L:nature αι:L:nature ει:L:nature α:L:lexicon ου:L:nature+position ε:S:nature ι:S:lexicon ε:L:position ο:S:nature ε:S:nature ει:L:nature ει:L:line_final,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaenomena,1,7,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,ι:L:position η:L:nature+position ω:L:nature+position ι:S:lexicon ο:S:nature οι:L:nature ο:S:nature ε:S:nature ει:L:nature ο:S:nature ε:S:nature ω:L:nature ο:S:nature α:S:lexicon ι:L:position η:L:line_final,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaenomena,1,8,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,1,correption,ου:L:nature ι:S:lexicon ε:S:nature αι:L:nature α:S:unknown ε:S:nature η:L:nature ι:S:antepenult_accent ε:S:nature ει:L:nature ο:S:nature ε:S:nature ε:L:position ι:S:lexicon αι:S:nature ω:L:nature αι:L:line_final,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaenomena,1,9,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,2,,αι:L:nature υ:S:lexicon α:S:lexicon υ:L:unknown ω:L:nature αι:L:nature αι:L:nature+position ε:L:position α:S:lexicon α:S:lexicon α:L:lexicon α:S:lexicon α:S:unknown ε:L:position αι:L:line_final,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaenomena,1,10,True,LLLSSLSSLSSLLLL,LLLSSLSSLSSLLLL,3.0,1,1,correption,αυ:L:nature ο:L:position α:L:lexicon α:S:lexicon ε:S:nature η:L:nature α:S:unknown ε:S:nature ου:L:nature α:S:lexicon ω:S:nature ε:L:position η:L:nature ι:L:position ε:L:line_final,"αὐτὸς γὰρ τά γε σήματ’ ἐν οὐρανῷ ἐστήριξεν,"
