work,tlg,book,n,text,text_clean,source
Phaenomena,tlg001,1,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτʼ ἄνδρες ἐῶμεν","ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,2,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,","ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,3,"πᾶσαι δʼ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα","πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,4,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.,tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,5,τοῦ γάρ καὶ γένος εἰμέν· ὁ δʼ ἤπιος ἀνθρώποισιν,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν,tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,6,"δεξιὰ σημαίνει, λαοὺς δʼ ἐπὶ ἔργον ἐγείρει,","δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,7,"μιμνῄσκων βιότοιο, λέγει δʼ ὅτε βῶλος ἀρίστη","μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,8,"βουσί τε καὶ μακέλῃσι, λέγει δʼ ὅτε δεξιαὶ ὧραι","βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,9,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.,tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,10,"αὐτὸς γὰρ τά γε σήματʼ ἐν οὐρανῷ ἐστήριξεν,","αὐτὸς γὰρ τά γε σήματ’ ἐν οὐρανῷ ἐστήριξεν,",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,11,"ἄστρα διακρίνας, ἐσκέψατο δʼ εἰς ἐνιαυτὸν","ἄστρα διακρίνας, ἐσκέψατο δ’ εἰς ἐνιαυτὸν",tlg0653.tlg001.perseus-grc2.xml
Phaenomena,tlg001,1,12,ἀστέρας οἵ κε μάλιστα τετυγμένα σημαίνοιεν,ἀστέρας οἵ κε μάλιστα τετυγμένα σημαίνοιεν,tlg0653.tlg001.perseus-grc2.xml
