work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
The Rape of Helen,1,1,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,1,,υ:L:paroxytone_short_ultima αι:L:nature+position ω:L:nature ι:S:unknown α:S:paroxytone_short_ultima ε:L:position ο:S:nature α:S:lexicon ου:L:nature+position α:L:position οι:L:nature ο:S:nature ε:S:nature ε:L:position η:L:line_final,"νύμφαι Τρωιάδες, ποταμοῦ Ξάνθοιο γενέθλη,"
The Rape of Helen,1,2,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,2,correption,αι:L:nature+position ο:S:nature α:S:unknown ω:L:nature+position η:L:nature ε:L:position α:S:lexicon αι:S:nature ι:L:lexicon ε:S:nature α:S:lexicon αι:L:nature+position ι:S:unknown α:S:antepenult_accent ει:L:nature ω:L:line_final,αἳ πλοκάμων κρήδεμνα καὶ ἱερὰ παίγνια χειρῶν
The Rape of Helen,1,3,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ο:L:position α:S:lexicon ι:S:lexicon α:L:position ω:L:nature η:L:nature ι:S:antepenult_accent ε:S:nature ι:L:lexicon α:S:lexicon α:S:lexicon οι:L:nature ι:S:lexicon ι:S:unknown ου:L:nature αι:L:line_final,πολλάκι πατρῴῃσιν ἐπὶ ψαμάθοισι λιποῦσαι
The Rape of Helen,1,4,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,2,,ε:L:position ο:S:nature ο:S:nature ι:L:unknown αι:L:nature η:L:nature ι:S:antepenult_accent ε:S:nature ε:L:position υ:L:unknown α:L:position ε:S:nature ο:S:nature ει:L:nature αι:L:line_final,"ἐς χορὸν Ἰδαίῃσιν ἐπεντύνασθε χορείαις,"
The Rape of Helen,1,5,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,0,,ευ:L:nature ε:S:nature ε:S:nature ι:L:position ο:S:nature ο:S:nature οι:L:nature ο:S:nature ο:S:nature η:L:nature α:S:lexicon α:S:lexicon η:L:nature ο:S:nature ο:S:nature η:L:nature ο:L:line_final,"δεῦτε, θεμιστοπόλοιο νοήματα μηλοβοτῆρος"
The Rape of Helen,1,6,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ει:L:nature α:S:unknown ε:S:nature οι:L:nature ε:S:nature α:S:unknown ο:L:position ο:S:nature α:S:lexicon ο:L:position υ:S:lexicon ε:S:nature αι:L:nature ο:S:nature α:S:lexicon οι:L:nature ο:L:line_final,"εἴπατέ μοι, κελάδοντος ἀπορνύμεναι ποταμοῖο,"
The Rape of Helen,1,7,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,ε:L:position ο:S:nature ε:S:nature ω:L:nature+position ο:S:nature ε:S:nature η:L:nature+position ε:S:nature α:S:unknown η:L:nature ε:S:nature α:S:antepenult_accent ο:L:position ο:S:nature ε:S:nature αυ:L:nature ω:L:line_final,ἐξ ὀρέων πόθεν ἦλθεν ἀήθεα πόντον ἐλαύνων
The Rape of Helen,1,8,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,α:L:position ω:L:nature+position ω:L:nature α:S:lexicon ο:S:nature ε:L:position α:S:lexicon ι:S:lexicon ε:L:position ε:S:nature ο:S:nature ε:L:position ε:S:nature ο:S:nature η:L:nature ω:L:line_final,ἀγνώσσων ἁλὸς ἔργα; τί δὲ χρέος ἔπλετο νηῶν
The Rape of Helen,1,9,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,2,,α:L:position ε:S:nature α:S:unknown ω:L:nature ι:S:lexicon α:S:lexicon ο:L:position ο:S:nature ο:S:nature ου:L:nature αι:L:nature αι:L:nature α:S:lexicon ο:S:nature ι:L:unknown η:L:line_final,"ἀρχεκάκων, ἵνα πόντον ὁμοῦ καὶ γαῖαν ὀρίνῃ"
The Rape of Helen,1,10,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ου:L:nature ο:S:nature ο:S:nature ω:L:nature υ:S:unknown ι:S:unknown η:L:nature ε:S:nature ι:S:lexicon ε:L:position ε:S:nature ο:S:nature ει:L:nature ε:S:nature ο:S:nature α:L:position η:L:line_final,"βουκόλος; ὠγυγίη δὲ τίς ἔπλετο νείκεος ἀρχή,"
The Rape of Helen,1,11,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.5,1,0,correption,ο:L:position α:S:lexicon αι:S:nature α:L:lexicon α:S:lexicon α:S:lexicon οι:L:nature ι:S:lexicon ε:S:nature ι:L:position ευ:L:nature ω:L:nature ι:S:antepenult_accent ο:S:nature η:L:nature ε:L:line_final,ὄφρα καὶ ἀθανάτοισι θεμιστεύσωσι νομῆες;
The Rape of Helen,1,12,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ι:L:lexicon ε:S:nature ι:S:unknown α:L:position ο:S:nature ι:S:unknown η:L:nature ο:S:nature ε:S:nature ε:L:position υ:S:lexicon ε:S:nature ου:L:nature ο:S:nature α:S:lexicon υ:L:position η:L:line_final,τίς δὲ δικασπολίη; πόθεν ἔκλυεν οὔνομα νύμφης
The Rape of Helen,1,13,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,0,,α:L:position ει:L:nature η:L:nature αυ:L:nature αι:L:nature α:S:lexicon ε:S:nature η:L:nature η:L:nature α:L:position ε:S:nature ο:S:nature ου:L:nature αι:L:line_final,Ἀργείης; αὐταὶ γὰρ ἐθηήσασθε μολοῦσαι
The Rape of Helen,1,14,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,4,,ι:L:unknown αι:L:nature η:L:nature+position ι:S:unknown α:S:unknown η:L:nature ο:S:nature υ:S:lexicon ο:L:position η:L:nature ω:L:nature α:S:properispomenon α:S:unknown α:L:position η:L:line_final,Ἰδαίης τρικάρηνον ὑπὸ πρηῶνα Φαλάκρης
The Rape of Helen,1,15,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,αι:L:nature α:S:lexicon ι:S:lexicon οι:L:nature ο:S:nature ο:S:nature οι:L:nature ι:S:lexicon ε:S:nature ε:L:position ι:S:unknown ο:S:nature ω:L:nature+position α:S:antepenult_accent ο:S:nature ω:L:nature οι:L:line_final,καὶ Πάριν οἰοπόλοισιν ἐφεδριόωντα θοώκοις
The Rape of Helen,1,16,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,2,lexicon_overridden,αι:L:nature α:S:lexicon ι:S:lexicon ω:L:nature+position α:S:unknown ι:S:unknown ει:L:nature α:S:antepenult_accent α:S:lexicon α:L:position ο:S:nature ε:S:nature η:L:nature α:S:lexicon ο:S:nature ι:L:lexicon η:L:line_final,καὶ Χαρίτων βασίλειαν ἀγαλλομένην Ἀφροδίτην.
The Rape of Helen,1,17,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ω:L:nature ο:S:nature ε:S:nature υ:L:position ι:S:unknown ο:S:nature οι:L:nature ι:S:antepenult_accent ε:S:nature ου:L:nature ε:S:nature ι:S:lexicon αι:L:nature ο:S:nature ι:S:unknown η:L:nature ω:L:line_final,ὣς ὁ μὲν ὑψιλόφοισιν ἐν οὔρεσιν Αἱμονιήων
The Rape of Helen,1,18,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,υ:L:position ι:S:unknown ι:S:unknown ω:L:nature+position η:L:nature η:L:nature ο:S:nature α:S:unknown ει:L:nature ο:S:nature ε:S:nature ω:L:nature υ:S:unknown ε:S:nature αι:L:nature ω:L:line_final,νυμφιδίων Πηλῆος ἀειδομένων ὑμεναίων
