token,wordform,phones,count
αἰάντεσσι_1,αἰάντεσσι,ai a n t e s s i,4
αἰέν_1,αἰέν,ai e n,1
αἰακίδαο_1,αἰακίδαο,ai a k i d aː o,17
αἰακίδαο_2,αἰακίδαο,ai aː k iː d a o,1
αἰακίδην_1,αἰακίδην,ai a k i d ɛː n,2
αἰακίδης_1,αἰακίδης,ai a k i d ɛː s,1
αἰακίδῃ_1,αἰακίδῃ,ai a k i d ɛːi,1
αἰακὸς_1,αἰακὸς,ai a k o s,1
αἰγάς_1,αἰγάς,ai g aː s,1
αἰγίδα_1,αἰγίδα,ai g i d a,7
αἰγίδ’_1,αἰγίδ’,ai g i d,2
αἰγίλιπα_1,αἰγίλιπα,ai g i l i p a,1
αἰγίλιπος_1,αἰγίλιπος,ai g i l i p o s,3
αἰγίοχος_1,αἰγίοχος,ai g i o kʰ o s,1
αἰγαίων’_1,αἰγαίων’,ai g ai ɔː n,1
αἰγανέῃσιν_1,αἰγανέῃσιν,ai g a n e ɛːi s i n,1
αἰγείῳ_1,αἰγείῳ,ai g eː ɔːi,1
αἰγιάλεια_1,αἰγιάλεια,ai g i a l eː a,1
αἰγιαλόν_1,αἰγιαλόν,ai g i a l o n,1
αἰγιαλὸς_1,αἰγιαλὸς,ai g i a l o z,1
αἰγιαλῷ_1,αἰγιαλῷ,ai g i a l ɔːi,2
αἰγιόχοιο_1,αἰγιόχοιο,ai g i o kʰ oi o,34
αἰγλήεντος_1,αἰγλήεντος,ai g l ɛː e n t o s,2
αἰγυπιοῖσι_1,αἰγυπιοῖσι,ai g y p i oi s i,1
αἰγυπιὸς_1,αἰγυπιὸς,ai g y p i o s,1
αἰγυπτίας_1,αἰγυπτίας,ai g y p t i aː s,1
αἰγός_1,αἰγός,ai g o s,1
αἰγὰς_1,αἰγὰς,ai g aː z,1
αἰγὸς_1,αἰγὸς,ai g o s,1
αἰγῶν_1,αἰγῶν,ai g ɔː n,5
αἰδέομαι_1,αἰδέομαι,ai d e o m ai,4
αἰδέσσεται_1,αἰδέσσεται,ai d e s s e t ai,1
αἰδεσθείς_1,αἰδεσθείς,ai d e s tʰ eː z,1
αἰδεσθεὶς_1,αἰδεσθεὶς,ai d e s tʰ eː z,1
αἰδεῖο_1,αἰδεῖο,ai d eː o,1
αἰδεῖσθαί_1,αἰδεῖσθαί,ai d eː s tʰ ai,1
αἰδοίη_1,αἰδοίη,ai d oi ɛː,6
αἰδοίης_1,αἰδοίης,ai d oi ɛː s,1
αἰδοίοιο_1,αἰδοίοιο,ai d oi oi o,2
αἰδοίων_1,αἰδοίων,ai d oi ɔː n,1
αἰδοίῃς_1,αἰδοίῃς,ai d oi ɛːi s,2
αἰδομένω_1,αἰδομένω,ai d o m e n ɔː,1
αἰδομένων_1,αἰδομένων,ai d o m e n ɔː n,2
αἰδοῖ_1,αἰδοῖ,ai d oi,1
αἰδοῖον_1,αἰδοῖον,ai d oi o n,1
αἰδοῖος_1,αἰδοῖος,ai d oi o z,1
αἰδοῖός_1,αἰδοῖός,ai d oi o s,1
αἰδώς_1,αἰδώς,ai d ɔː s,1
αἰδὼς_1,αἰδὼς,ai d ɔː s,7
αἰδὼς_2,αἰδὼς,ai d ɔː z,1
αἰδῶ_1,αἰδῶ,ai d ɔː,5
αἰεί_1,αἰεί,ai eː,21
αἰειγενέτῃσι_1,αἰειγενέτῃσι,ai eː g e n e t ɛːi s i,1
αἰειγενέτῃσιν_1,αἰειγενέτῃσιν,ai eː g e n e t ɛːi s i n,2
αἰειγενετάων_1,αἰειγενετάων,ai eː g e n e t aː ɔː n,5
αἰετοῦ_1,αἰετοῦ,ai e t uː,1
αἰετὸς_1,αἰετὸς,ai e t o s,4
αἰεὶ_1,αἰεὶ,ai eː,53
αἰζήϊος_1,αἰζήϊος,ai z d ɛː i o s,1
αἰζηοί_1,αἰζηοί,ai z d ɛː oi,1
αἰζηοὺς_1,αἰζηοὺς,ai z d ɛː uː s,1
αἰζηῶν_1,αἰζηῶν,ai z d ɛː ɔː n,9
αἰζηῷ_1,αἰζηῷ,ai z d ɛː ɔːi,1
αἰθέρα_1,αἰθέρα,ai tʰ e r a,1
αἰθέρι_1,αἰθέρι,ai tʰ e r i,5
αἰθέρος_1,αἰθέρος,ai tʰ e r o s,7
αἰθέρ’_1,αἰθέρ’,ai tʰ e r,5
αἰθήρ_1,αἰθήρ,ai tʰ ɛː r,3
αἰθίκεσσι_1,αἰθίκεσσι,ai tʰ iː k e s s i,1
αἰθαλόεν_1,αἰθαλόεν,ai tʰ a l o e n,1
αἰθαλόεσσαν_1,αἰθαλόεσσαν,ai tʰ a l o e s s a n,1
αἰθιοπῆας_1,αἰθιοπῆας,ai tʰ i o p ɛː a s,1
αἰθιόπων_1,αἰθιόπων,ai tʰ i o p ɔː n,1
αἰθομένοιο_1,αἰθομένοιο,ai tʰ o m e n oi o,10
αἰθομένοις_1,αἰθομένοις,ai tʰ o m e n oi s,1
αἰθομένου_1,αἰθομένου,ai tʰ o m e n uː,1
αἰθούσης_1,αἰθούσης,ai tʰ uː s ɛː s,2
αἰθούσῃ_1,αἰθούσῃ,ai tʰ uː s ɛːi,2
αἰθούσῃσι_1,αἰθούσῃσι,ai tʰ uː s ɛːi s i,1
αἰθούσῃσιν_1,αἰθούσῃσιν,ai tʰ uː s ɛːi s i n,1
αἰθρηγενέος_1,αἰθρηγενέος,ai tʰ r ɛː g e n e o z,2
αἰθόμενον_1,αἰθόμενον,ai tʰ o m e n o n,2
αἰνέας_1,αἰνέας,ai n e aː s,1
αἰνή_1,αἰνή,ai n ɛː,2
αἰνήν_1,αἰνήν,ai n ɛː n,6
αἰνίζομ’_1,αἰνίζομ’,ai n i z d o m,1
αἰναρέτη_1,αἰναρέτη,ai n a r e t ɛː,1
αἰνεία_1,αἰνεία,ai n eː aː,10
αἰνείαν_1,αἰνείαν,ai n eː aː n,14
αἰνείαο_1,αἰνείαο,ai n eː aː o,12
αἰνείας_1,αἰνείας,ai n eː aː s,18
αἰνείας_2,αἰνείας,ai n eː aː z,16
αἰνείω_1,αἰνείω,ai n eː ɔː,1
αἰνείᾳ_1,αἰνείᾳ,ai n eː aːi,5
αἰνεῖτ’_1,αἰνεῖτ’,ai n eː t,1
αἰνοτάτην_1,αἰνοτάτην,ai n o t a t ɛː n,1
αἰνοτάτῳ_1,αἰνοτάτῳ,ai n o t a t ɔːi,1
αἰνόθεν_1,αἰνόθεν,ai n o tʰ e n,2
αἰνόμορον_1,αἰνόμορον,ai n o m o r o n,1
αἰνός_1,αἰνός,ai n o s,1
αἰνότατε_1,αἰνότατε,ai n o t a t e,6
αἰνότατον_1,αἰνότατον,ai n o t a t o n,1
αἰνὰ_1,αἰνὰ,ai n a,2
αἰνὴ_1,αἰνὴ,ai n ɛː,2
αἰνὴν_1,αἰνὴν,ai n ɛː n,1
αἰνὸν_1,αἰνὸν,ai n o n,10
αἰνὸς_1,αἰνὸς,ai n o s,4
αἰνῆς_1,αἰνῆς,ai n ɛː z,3
αἰνῇ_1,αἰνῇ,ai n ɛːi,7
αἰνῇσιν_1,αἰνῇσιν,ai n ɛːi s i n,1
αἰνῶς_1,αἰνῶς,ai n ɔː s,9
αἰνῶς_2,αἰνῶς,ai n ɔː z,4
αἰνῷ_1,αἰνῷ,ai n ɔːi,2
αἰολίδης_1,αἰολίδης,ai o l i d ɛː s,1
αἰολοθώρηξ_1,αἰολοθώρηξ,ai o l o tʰ ɔː r ɛː k s,2
αἰολομίτρην_1,αἰολομίτρην,ai o l o m i t r ɛː n,1
αἰολοπώλους_1,αἰολοπώλους,ai o l o p ɔː l uː s,1
αἰπήεσσαν_1,αἰπήεσσαν,ai p ɛː e s s a n,1
αἰπήν_1,αἰπήν,ai p ɛː n,1
αἰπεινή_1,αἰπεινή,ai p eː n ɛː,1
αἰπεινήν_1,αἰπεινήν,ai p eː n ɛː n,2
αἰπεινὴν_1,αἰπεινὴν,ai p eː n ɛː n,2
αἰπεινὸν_1,αἰπεινὸν,ai p eː n o n,1
αἰπεινῆς_1,αἰπεινῆς,ai p eː n ɛː z,2
αἰπεινῆς_2,αἰπεινῆς,ai p eː n ɛː s,1
αἰπεινῇ_1,αἰπεινῇ,ai p eː n ɛːi,2
αἰπεῖα_1,αἰπεῖα,ai p eː a,2
αἰπεῖαν_1,αἰπεῖαν,ai p eː a n,1
αἰπόλια_1,αἰπόλια,ai p o l i a,1
αἰπόλοι_1,αἰπόλοι,ai p o l oi,1
αἰπόλος_1,αἰπόλος,ai p o l o s,1
αἰπύ_1,αἰπύ,ai p y,4
αἰπύν_1,αἰπύν,ai p y n,2
αἰπύτιον_1,αἰπύτιον,ai p y t i o n,1
αἰπὰ_1,αἰπὰ,ai p a,1
αἰπὺ_1,αἰπὺ,ai p y,3
αἰπὺν_1,αἰπὺν,ai p y n,10
αἰπὺς_1,αἰπὺς,ai p y s,7
αἰσήποιο_1,αἰσήποιο,ai s ɛː p oi o,2
αἰσυήταο_1,αἰσυήταο,ai s yː ɛː t aː o,2
αἰσυμνητῆρι_1,αἰσυμνητῆρι,ai s y m n ɛː t ɛː r i,1
αἰσχροῖς_1,αἰσχροῖς,ai s kʰ r oi s,3
αἰσχροῖσιν_1,αἰσχροῖσιν,ai s kʰ r oi s i n,1
αἰσχρόν_1,αἰσχρόν,ai s kʰ r o n,1
αἰσχρὸν_1,αἰσχρὸν,ai s kʰ r o n,1
αἰσχυνέμεν_1,αἰσχυνέμεν,ai s kʰ yː n e m e n,1
αἰσχύνει_1,αἰσχύνει,ai s kʰ yː n eː,1
αἰσύμηθεν_1,αἰσύμηθεν,ai s yː m ɛː tʰ e n,1
αἰτίη_1,αἰτίη,ai t i ɛː,1
αἰτιάασθαι_1,αἰτιάασθαι,ai t i a a s tʰ ai,2
αἰτιόῳτο_1,αἰτιόῳτο,ai t i o ɔːi t o,1
αἰτωλοὶ_1,αἰτωλοὶ,ai t ɔː l oi,2
αἰτωλοῖσι_1,αἰτωλοῖσι,ai t ɔː l oi s i,1
αἰτωλοῖσιν_1,αἰτωλοῖσιν,ai t ɔː l oi s i n,2
αἰτωλὸς_1,αἰτωλὸς,ai t ɔː l o s,1
αἰτωλὸς_2,αἰτωλὸς,ai t ɔː l o z,1
αἰτωλῶν_1,αἰτωλῶν,ai t ɔː l ɔː n,6
αἰτώλιον_1,αἰτώλιον,ai t ɔː l i o n,1
αἰτώλιος_1,αἰτώλιος,ai t ɔː l i o s,1
αἰχμάς_1,αἰχμάς,ai kʰ m aː s,1
αἰχμή_1,αἰχμή,ai kʰ m ɛː,3
αἰχμήν_1,αἰχμήν,ai kʰ m ɛː n,1
αἰχμητάων_1,αἰχμητάων,ai kʰ m ɛː t aː ɔː n,8
αἰχμητήν_1,αἰχμητήν,ai kʰ m ɛː t ɛː n,4
αἰχμητής_1,αἰχμητής,ai kʰ m ɛː t ɛː z,1
αἰχμηταὶ_1,αἰχμηταὶ,ai kʰ m ɛː t ai,2
αἰχμητὰ_1,αἰχμητὰ,ai kʰ m ɛː t a,1
αἰχμητὴν_1,αἰχμητὴν,ai kʰ m ɛː t ɛː n,4
αἰχμητῇ_1,αἰχμητῇ,ai kʰ m ɛː t ɛːi,1
αἰχμὰς_1,αἰχμὰς,ai kʰ m aː z,1
αἰχμὰς_2,αἰχμὰς,ai kʰ m aː s,1
αἰχμὴ_1,αἰχμὴ,ai kʰ m ɛː,20
αἰχμὴν_1,αἰχμὴν,ai kʰ m ɛː n,1
αἰχμῆς_1,αἰχμῆς,ai kʰ m ɛː s,3
αἰχμῇ_1,αἰχμῇ,ai kʰ m ɛːi,2
αἰψηρήν_1,αἰψηρήν,ai p s ɛː r ɛː n,1
αἰόλα_1,αἰόλα,ai o l a,1
αἰόλαι_1,αἰόλαι,ai o l ai,1
αἰόλοι_1,αἰόλοι,ai o l oi,1
αἰόλον_1,αἰόλον,ai o l o n,3
αἰόλος_1,αἰόλος,ai o l o s,1
αἰών_1,αἰών,ai ɔː n,1
αἰὲν_1,αἰὲν,ai e n,32
αἰὼν_1,αἰὼν,ai ɔː n,4
αἰῶνος_1,αἰῶνος,ai ɔː n o s,1
αἰῶνος_2,αἰῶνος,ai ɔː n o z,1
αἱ_1,αἱ,h ai,3
αἱματοέσσας_1,αἱματοέσσας,h ai m a t o e s s a z,1
αἱματοέσσης_1,αἱματοέσσης,h ai m a t o e s s ɛː s,2
αἱματόεις_1,αἱματόεις,h ai m a t o eː s,2
αἱματόεντα_1,αἱματόεντα,h ai m a t o e n t a,7
αἱματόεντος_1,αἱματόεντος,h ai m a t o e n t o s,2
αἱματόεντ’_1,αἱματόεντ’,h ai m a t o e n t,1
αἱματόεσσα_1,αἱματόεσσα,h ai m a t o e s s a,1
αἱμονίδαο_1,αἱμονίδαο,h ai m o n i d aː o,1
αἱμονίδης_1,αἱμονίδης,h ai m o n i d ɛː s,1
αἱρήσει_1,αἱρήσει,h ai r ɛː s eː,1
αἱρήσειν_1,αἱρήσειν,h ai r ɛː s eː n,1
αἱρήσομεν_1,αἱρήσομεν,h ai r ɛː s o m e n,3
αἱρείτω_1,αἱρείτω,h ai r eː t ɔː,2
αἱρεύμενοι_1,αἱρεύμενοι,h ai r eu m e n oi,1
αἱρεῖ_1,αἱρεῖ,h ai r eː,5
αἱρησέμεν_1,αἱρησέμεν,h ai r ɛː s e m e n,2
αἲ_1,αἲ,ai,10
αἳ_1,αἳ,h ai,52
αἴ_1,αἴ,ai,84
αἴανθ’_1,αἴανθ’,ai a n tʰ,3
αἴαντές_1,αἴαντές,ai a n t e s,1
αἴαντα_1,αἴαντα,ai a n t a,14
αἴαντα_2,αἴαντα,ai a n t aː,1
αἴαντας_1,αἴαντας,ai a n t a z,1
αἴαντε_1,αἴαντε,ai a n t e,14
αἴαντες_1,αἴαντες,ai a n t e s,3
αἴαντες_2,αἴαντες,ai a n t e z,1
αἴαντι_1,αἴαντι,ai a n t i,2
αἴαντι_2,αἴαντι,ai a n t iː,3
αἴαντος_1,αἴαντος,ai a n t o s,16
αἴαντος_2,αἴαντος,ai a n t o z,7
αἴαντός_1,αἴαντός,ai a n t o s,1
αἴαντός_2,αἴαντός,ai a n t o z,2
αἴαντ’_1,αἴαντ’,ai a n t,6
αἴας_1,αἴας,ai aː s,53
αἴας_2,αἴας,ai aː z,36
αἴγειρος_1,αἴγειρος,ai g eː r o s,1
αἴγεσιν_1,αἴγεσιν,ai g e s i n,1
αἴγιναν_1,αἴγιναν,ai g iː n a n,1
αἴγιον_1,αἴγιον,ai g i o n,1
αἴγλη_1,αἴγλη,ai g l ɛː,2
αἴδεσθεν_1,αἴδεσθεν,ai d e s tʰ e n,1
αἴδεσσαι_1,αἴδεσσαι,ai d e s s ai,1
αἴδετο_1,αἴδετο,ai d e t o,1
