work,tlg,book,n,text,text_clean,source
Dionysiaca,tlg001,1,0,"πρῶτον ἔχει Κρονίωνα, φαεσφόρον ἅρπαγα νύμφης, καὶ παλάμαις Τυφῶνος ἀρασσόμενον πόλον ἄστρων.","πρῶτον ἔχει Κρονίωνα, φαεσφόρον ἅρπαγα νύμφης, καὶ παλάμαις Τυφῶνος ἀρασσόμενον πόλον ἄστρων.",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,","εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,2,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,","νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,3,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,4,"Βάκχου δισσοτόκοιο, τὸν ἐκ πυρὸς ὑγρὸν ἀείρας","Βάκχου δισσοτόκοιο, τὸν ἐκ πυρὸς ὑγρὸν ἀείρας",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,5,"Ζεὺς βρέφος ἡμιτέλεστον ἀμαιεύτοιο τεκούσης,","Ζεὺς βρέφος ἡμιτέλεστον ἀμαιεύτοιο τεκούσης,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,6,"φειδομέναις παλάμῃσι τομὴν μηροῖο χαράξας,","φειδομέναις παλάμῃσι τομὴν μηροῖο χαράξας,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,7,"ἄρσενι γαστρὶ λόχευσε, πατὴρ καὶ πότνια μήτηρ,","ἄρσενι γαστρὶ λόχευσε, πατὴρ καὶ πότνια μήτηρ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,8,"εὖ εἰδὼς τόκον ἄλλον, ἐπεὶ γονόεντι καρήνῳ,","εὖ εἰδὼς τόκον ἄλλον, ἐπεὶ γονόεντι καρήνῳ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,9,"ἄσπορον ὄγκον ἄπιστον ἔχων ἐγκύμονι κόρσῃ,","ἄσπορον ὄγκον ἄπιστον ἔχων ἐγκύμονι κόρσῃ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,10,τεύχεσιν ἀστράπτουσαν ἀνηκόντιζεν Ἀθήνην.,τεύχεσιν ἀστράπτουσαν ἀνηκόντιζεν Ἀθήνην.,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,11,"ἄξατέ μοι νάρθηκα, τινάξατε κύμβαλα, Μοῦσαι,","ἄξατέ μοι νάρθηκα, τινάξατε κύμβαλα, Μοῦσαι,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,12,καὶ παλάμῃ δότε θύρσον ἀειδομένου Διονύσου·,καὶ παλάμῃ δότε θύρσον ἀειδομένου Διονύσου·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,13,"ἀλλὰ χοροῦ ψαύοντα, Φάρῳ παρὰ γείτονι νήσῳ,","ἀλλὰ χοροῦ ψαύοντα, Φάρῳ παρὰ γείτονι νήσῳ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,14,"στήσατέ μοι Πρωτῆα πολύτροπον, ὄφρα φανείη","στήσατέ μοι Πρωτῆα πολύτροπον, ὄφρα φανείη",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,15,"ποικίλον εἶδος ἔχων, ὅτι ποικίλον ὕμνον ἀράσσω·","ποικίλον εἶδος ἔχων, ὅτι ποικίλον ὕμνον ἀράσσω·",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,16,"εἰ γὰρ ἐφερπύσσειε δράκων κυκλούμενος ὁλκῷ,","εἰ γὰρ ἐφερπύσσειε δράκων κυκλούμενος ὁλκῷ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,17,"μέλψω θεῖον ἄεθλον, ὅπως κισσώδεϊ θύρσῳ","μέλψω θεῖον ἄεθλον, ὅπως κισσώδεϊ θύρσῳ",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,18,φρικτὰ δρακοντοκόμων ἐδαΐζετο φῦλα Γιγάντων·,φρικτὰ δρακοντοκόμων ἐδαΐζετο φῦλα Γιγάντων·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,19,"εἰ δὲ λέων φρίξειεν ἐπαυχενίην τρίχα σείων,","εἰ δὲ λέων φρίξειεν ἐπαυχενίην τρίχα σείων,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,20,Βάκχον ἀνευάξω βλοσυρῆς ἐπὶ πήχεϊ Ῥείης,Βάκχον ἀνευάξω βλοσυρῆς ἐπὶ πήχεϊ Ῥείης,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,21,μαζὸν ὑποκλέπτοντα λεοντοβότοιο θεαίνης·,μαζὸν ὑποκλέπτοντα λεοντοβότοιο θεαίνης·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,22,εἰ δὲ θυελλήεντι μετάρσιος ἅλματι ταρσῶν,εἰ δὲ θυελλήεντι μετάρσιος ἅλματι ταρσῶν,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,23,"πόρδαλις ἀίξῃ πολυδαίδαλον εἶδος ἀμείβων,","πόρδαλις ἀίξῃ πολυδαίδαλον εἶδος ἀμείβων,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,24,"ὑμνήσω Διὸς υἷα, πόθεν γένος ἔκτανεν Ἰνδῶν","ὑμνήσω Διὸς υἷα, πόθεν γένος ἔκτανεν Ἰνδῶν",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,25,πορδαλίων ὀχέεσσι καθιππεύσας ἐλεφάντων·,πορδαλίων ὀχέεσσι καθιππεύσας ἐλεφάντων·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,26,"εἰ δέμας ἰσάζοιτο τύπῳ συός, υἷα Θυώνης","εἰ δέμας ἰσάζοιτο τύπῳ συός, υἷα Θυώνης",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,27,"ἀείσω ποθέοντα συοκτόνον εὔγαμον Αὔρην,","ἀείσω ποθέοντα συοκτόνον εὔγαμον Αὔρην,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,28,ὀψιγόνου τριτάτοιο Κυβηλίδα μητέρα Βάκχου·,ὀψιγόνου τριτάτοιο Κυβηλίδα μητέρα Βάκχου·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,29,"εἰ δὲ πέλοι μιμηλὸν ὕδωρ, Διόνυσον ἀείσω","εἰ δὲ πέλοι μιμηλὸν ὕδωρ, Διόνυσον ἀείσω",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,30,κόλπον ἁλὸς δύνοντα κορυσσομένοιο Λυκούργου·,κόλπον ἁλὸς δύνοντα κορυσσομένοιο Λυκούργου·,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,31,"εἰ φυτὸν αἰθύσσοιτο νόθον ψιθύρισμα τιταίνων,","εἰ φυτὸν αἰθύσσοιτο νόθον ψιθύρισμα τιταίνων,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,32,"μνήσομαι Ἰκαρίοιο, πόθεν παρὰ θυιάδι ληνῷ","μνήσομαι Ἰκαρίοιο, πόθεν παρὰ θυιάδι ληνῷ",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,33,βότρυς ἁμιλλητῆρι ποδῶν ἐθλίβετο ταρσῷ.,βότρυς ἁμιλλητῆρι ποδῶν ἐθλίβετο ταρσῷ.,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,34,"Ἄξατέ μοι νάρθηκα, Μιμαλλόνες, ὠμαδίην δὲ","Ἄξατέ μοι νάρθηκα, Μιμαλλόνες, ὠμαδίην δὲ",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,35,νεβρίδα ποικιλόνωτον ἐθήμονος ἀντὶ χιτῶνος,νεβρίδα ποικιλόνωτον ἐθήμονος ἀντὶ χιτῶνος,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,36,"σφίγξατέ μοι στέρνοισι, Μαρωνίδος ἔμπλεον ὀδμῆς","σφίγξατέ μοι στέρνοισι, Μαρωνίδος ἔμπλεον ὀδμῆς",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,37,"νεκταρέης, βυθίῃ δὲ παρʼ Εἰδοθέῃ καὶ Ὁμήρῳ","νεκταρέης, βυθίῃ δὲ παρ’ Εἰδοθέῃ καὶ Ὁμήρῳ",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,38,φωκάων βαρὺ δέρμα φυλασσέσθω Μενελάῳ.,φωκάων βαρὺ δέρμα φυλασσέσθω Μενελάῳ.,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,39,"εὔιά μοι δότε ῥόπτρα καὶ αἰγίδας, ἡδυμελῆ δὲ","εὔιά μοι δότε ῥόπτρα καὶ αἰγίδας, ἡδυμελῆ δὲ",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,40,"ἄλλῳ δίθροον αὐλὸν ὀπάσσατε, μὴ καὶ ὀρίνω","ἄλλῳ δίθροον αὐλὸν ὀπάσσατε, μὴ καὶ ὀρίνω",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,41,"Φοῖβον ἐμόν· δονάκων γὰρ ἀναίνεται ἔμπνοον ἠχώ,","Φοῖβον ἐμόν· δονάκων γὰρ ἀναίνεται ἔμπνοον ἠχώ,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,42,ἐξ ὅτε Μαρσύαο θεημάχον αὐλὸν ἐλέγξας,ἐξ ὅτε Μαρσύαο θεημάχον αὐλὸν ἐλέγξας,tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,43,"δέρμα παρῃώρησε φυτῷ κολπούμενον αὔραις,","δέρμα παρῃώρησε φυτῷ κολπούμενον αὔραις,",tlg2045.tlg001.perseus-grc2.xml
Dionysiaca,tlg001,1,44,γυμνώσας ὅλα γυῖα λιπορρίνοιο νομῆος.,γυμνώσας ὅλα γυῖα λιπορρίνοιο νομῆος.,tlg2045.tlg001.perseus-grc2.xml
