work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Epitaphius Adonis,1,1,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,αι:L:nature α:L:position ω:L:nature ο:S:nature α:S:unknown ω:L:nature ι:S:antepenult_accent α:S:lexicon ω:L:nature ε:S:nature ο:S:nature α:L:lexicon ο:S:nature α:S:unknown ω:L:nature ι:L:antepenult_accent,Αἰάζω τὸν Ἄδωνιν· ἀπώλετο καλὸς Ἄδωνις·
Epitaphius Adonis,1,2,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,1,,ω:L:nature ε:S:nature ο:S:nature α:L:lexicon ο:S:nature α:S:unknown ω:L:nature ι:S:antepenult_accent ε:S:nature αι:L:nature α:L:position ου:L:nature ι:S:antepenult_accent ε:S:nature ω:L:nature ε:L:line_final,ὤλετο καλὸς Ἄδωνις ἐπαιάζουσιν Ἔρωτες.
Epitaphius Adonis,1,3,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,3,,η:L:nature ε:S:nature ι:S:lexicon ο:L:position υ:S:lexicon ε:S:nature οι:L:nature ε:S:nature ι:S:lexicon α:L:unknown ε:S:nature ι:S:antepenult_accent υ:L:position ι:S:unknown α:S:unknown ευ:L:nature ε:L:line_final,μηκέτι πορφυρέοις ἐνὶ φάρεσι Κύπρι κάθευδε·
Epitaphius Adonis,1,4,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,5,,ε:L:position ε:S:nature ο:S:nature ει:L:nature αι:L:nature α:L:unknown υ:S:unknown α:S:unknown ο:L:position ο:S:nature α:S:antepenult_accent αι:L:nature+position α:S:unknown α:S:unknown η:L:nature ο:L:line_final,"ἔγρεο δειλαία, κυανόστολα καὶ πλατάγησον"
Epitaphius Adonis,1,5,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature ε:S:nature α:S:lexicon αι:L:nature ε:S:nature ε:S:nature α:L:lexicon ι:S:lexicon α:S:lexicon ω:L:nature ε:S:nature ο:S:nature α:L:lexicon ο:S:nature α:S:unknown ω:L:nature ι:L:antepenult_accent,στήθεα καὶ λέγε πᾶσιν ἀπώλετο καλὸς Ἄδωνις.
Epitaphius Adonis,1,6,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,1,,αι:L:nature α:L:position ω:L:nature ο:S:nature α:S:unknown ω:L:nature ι:S:antepenult_accent ε:S:nature αι:L:nature α:L:position ου:L:nature ι:S:antepenult_accent ε:S:nature ω:L:nature ε:L:line_final,αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.
Epitaphius Adonis,1,7,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,ει:L:nature αι:L:nature α:L:lexicon ο:S:nature α:S:unknown ω:L:nature ι:S:antepenult_accent ε:S:nature ω:L:nature ε:S:nature ι:S:antepenult_accent η:L:nature ο:S:nature ο:S:nature ο:L:position ι:L:line_final,"κεῖται καλὸς Ἄδωνις ἐν ὤρεσι μηρὸν ὀδόντι,"
Epitaphius Adonis,1,8,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,4,,ευ:L:nature ω:L:nature ευ:L:nature ο:S:nature ο:S:nature ο:L:position ι:S:unknown υ:S:unknown ει:L:nature+position αι:L:nature υ:L:paroxytone_short_ultima ι:S:lexicon α:S:unknown ι:L:unknown η:L:line_final,"λευκῷ λευκὸν ὀδόντι τυπείς, καὶ Κύπριν ἀνιῇ"
Epitaphius Adonis,1,9,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,2,correption,ε:L:position ο:S:nature α:S:unknown ο:L:position υ:L:unknown ω:L:nature+position ο:S:nature ε:S:nature οι:L:nature ε:S:nature α:S:lexicon ει:L:nature ε:S:nature αι:S:nature αι:L:nature α:L:lexicon,λεπτὸν ἀποψύχων· τὸ δέ οἱ μέλαν εἴβεται αἷμα
Epitaphius Adonis,1,10,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,ι:L:unknown ο:S:nature ε:S:nature α:L:position α:S:lexicon α:S:lexicon α:L:position ο:S:nature υ:S:lexicon ο:L:position υ:S:lexicon ι:S:lexicon ο:L:position α:S:lexicon α:S:lexicon α:L:position η:L:line_final,"χιονέας κατὰ σαρκός, ὑπ’ ὀφρύσι δ’ ὄμματα ναρκῇ,"
