work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Halieutica,1,1,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ε:L:position ε:S:nature α:S:unknown οι:L:nature ο:L:position οι:L:nature ο:S:nature ο:S:nature υ:L:position ε:S:nature ε:S:nature α:L:position ε:S:nature α:S:lexicon α:L:position α:L:lexicon,ἔθνεά τοι πόντοιο πολυσπερέας τε φάλαγγας
Halieutica,1,2,True,LLLSSLLLSSLLLL,LLLSSLLLSSLLLL,1.5,1,0,,α:L:position οι:L:nature ω:L:nature+position ε:S:nature ο:S:nature ω:L:nature+position ω:L:nature ο:L:position ε:S:nature ο:S:nature α:L:position ι:L:position ι:L:lexicon η:L:line_final,"παντοίων νεπόδων, πλωτὸν γένος Ἀμφιτρίτης,"
Halieutica,1,3,True,LSSLLLSSLSSLLLL,LSSLLLSSLSSLLLL,1.5,1,0,,ε:L:position ε:S:nature ε:S:nature ω:L:nature αι:L:nature η:L:nature υ:S:lexicon α:S:lexicon ο:L:position α:S:lexicon ο:S:nature α:L:position ω:L:nature ι:L:circumflex ε:L:line_final,"ἐξερέω, γαίης ὕπατον κράτος, Ἀντωνῖνε·"
Halieutica,1,4,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,5,,ο:L:position α:S:lexicon ε:S:nature υ:L:unknown α:S:unknown ο:S:nature ε:L:position α:S:antepenult_accent ε:S:nature ει:L:nature υ:S:unknown ι:S:unknown η:L:nature ι:S:unknown ε:S:nature α:L:position α:L:lexicon,"ὅσσα τε κυματόεσσαν ἔχει χύσιν, ᾗχί θ’ ἕκαστα"
Halieutica,1,5,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,3,,ε:L:position ε:S:nature ε:S:nature αι:L:nature ι:S:unknown ε:S:nature ου:L:nature+position ε:S:nature α:S:unknown ου:L:nature+position ι:S:unknown ε:S:nature α:L:position ε:S:nature ε:S:nature ε:L:position α:L:line_final,"ἐννέμεται, διερούς τε γάμους διεράς τε γενέθλας"
Halieutica,1,6,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.5,1,1,correption,αι:L:nature ι:S:lexicon ο:S:nature ι:L:position υ:S:lexicon ο:S:nature ε:L:position α:S:lexicon αι:S:nature ε:L:position ε:S:nature α:S:lexicon αι:L:nature ι:S:unknown ο:S:nature η:L:nature α:L:antepenult_accent,καὶ βίον ἰχθυόεντα καὶ ἔχθεα καὶ φιλότητας
Halieutica,1,7,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,αι:L:nature ου:L:nature α:L:lexicon α:S:unknown ι:S:unknown η:L:nature+position ε:S:nature ο:S:nature υ:L:position ο:S:nature α:S:antepenult_accent η:L:nature ε:S:nature α:S:lexicon ε:L:position η:L:line_final,"καὶ βουλάς, ἁλίης τε πολύτροπα δήνεα τέχνης"
Halieutica,1,8,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,1.5,1,1,,ε:L:position α:S:lexicon ε:S:nature η:L:nature ο:S:nature α:S:lexicon ω:L:nature ε:S:nature ε:S:nature ι:L:position υ:S:lexicon ι:S:lexicon η:L:nature ι:L:unknown α:L:position ο:L:line_final,"κερδαλέης, ὅσα φῶτες ἐπ’ ἰχθύσι μητίσαντο"
Halieutica,1,9,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,α:L:position α:L:paroxytone_short_ultima οι:L:nature α:S:lexicon ι:S:lexicon η:L:nature ο:S:nature ε:S:nature ι:L:position ω:L:nature ου:L:nature ι:S:antepenult_accent α:S:lexicon α:L:position α:L:lexicon,ἀφράστοις· ἀΐδηλον ἐπιπλώουσι θάλασσαν
Halieutica,1,10,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,ο:L:position η:L:nature η:L:nature+position α:S:lexicon ι:S:lexicon η:L:nature α:S:lexicon α:S:lexicon ε:L:position α:S:unknown ο:S:nature ου:L:nature ε:S:nature ι:S:unknown ο:L:position α:L:antepenult_accent,"τολμηρῇ κραδίῃ, κατὰ δ’ ἔδρακον οὐκ ἐπίοπτα"
Halieutica,1,11,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ε:L:position ε:S:nature α:S:lexicon αι:L:nature ε:L:position η:L:nature ι:S:antepenult_accent α:S:lexicon ο:L:position ι:S:lexicon α:S:lexicon ε:L:position α:S:lexicon α:S:unknown α:L:position ο:L:line_final,βένθεα καὶ τέχνῃσιν ἁλὸς διὰ μέτρα δάσαντο
Halieutica,1,12,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,1,correption,αι:L:nature ο:S:nature ι:S:unknown οι:L:nature+position ου:L:nature η:L:nature+position ε:S:nature ο:S:nature ι:L:position ο:S:nature ο:S:nature η:L:nature ε:S:nature αι:S:nature α:L:paroxytone_short_ultima ο:L:line_final,δαιμόνιοι. χλούνην μὲν ὀρίτροφον ἠδὲ καὶ ἄρκτον
Halieutica,1,13,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,2,correption,η:L:nature η:L:nature η:L:nature ο:S:nature α:S:unknown α:L:nature ε:S:nature αι:S:nature α:L:position ι:S:unknown ο:S:nature ω:L:nature+position α:S:antepenult_accent ο:S:nature ευ:L:nature ει:L:line_final,θηρητὴρ ὁράᾳ τε καὶ ἀντιόωντα δοκεύει
Halieutica,1,14,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,α:L:position α:S:lexicon ι:S:lexicon η:L:nature ε:S:nature α:S:unknown ε:L:position ε:S:nature α:S:lexicon ει:L:nature+position ε:S:nature ο:S:nature ε:L:position ε:S:nature α:S:unknown α:L:paroxytone_short_ultima αι:L:line_final,"ἀμφαδίην, ἕκαθέν τε βαλεῖν σχεδόθεν τε δαμάσσαι·"
Halieutica,1,15,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,1.5,1,0,correption;lexicon_overridden,α:L:position ω:L:nature α:L:position α:S:lexicon ε:S:nature ω:L:nature+position αι:L:nature η:L:nature ε:S:nature ι:S:lexicon η:L:nature+position ε:S:nature αι:S:nature α:L:lexicon η:L:line_final,ἄμφω δ’ ἀσφαλέως γαίης ἔπι θήρ τε καὶ ἀνὴρ
Halieutica,1,16,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,3,correption,α:L:position α:L:position αι:L:nature+position υ:S:unknown α:S:unknown ε:L:position ε:S:nature υ:S:unknown ε:L:position ο:S:nature οι:S:nature η:L:nature ε:S:nature ο:S:nature η:L:nature ε:L:line_final,"μάρνανται, σκύλακες δὲ συνέμποροι ἡγεμονῆες"
Halieutica,1,17,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.5,1,4,correption,ω:L:nature α:S:unknown α:S:antepenult_accent η:L:nature αι:L:nature ου:L:nature ι:S:antepenult_accent αι:S:nature ι:L:unknown υ:L:unknown ου:L:nature ι:S:antepenult_accent α:S:unknown α:L:position α:L:antepenult_accent,κνώδαλα σημαίνουσι καὶ ἰθύνουσιν ἄνακτας
