work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Hymn 1,1,1,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.5,1,4,correption,οι:L:nature ε:L:position α:L:lexicon α:S:unknown α:S:unknown ω:L:nature οι:L:nature ι:L:unknown α:S:unknown ω:S:nature η:L:nature ε:S:nature ο:S:nature ε:L:position η:L:line_final,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hymn 1,1,2,True,LLLLLLLSSLSSLL,LLLLLLLSSLSSLL,0.0,1,2,,α:L:lexicon οι:L:nature ε:L:position α:L:position ω:L:nature ι:L:lexicon ο:L:position ε:S:nature ο:S:nature ει:L:nature α:S:unknown ι:S:unknown ω:L:nature α:L:properispomenon,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hymn 1,1,3,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,1.5,2,3,correption,οι:L:nature ε:S:nature ε:S:nature α:L:position ει:L:nature ω:L:nature ο:S:nature α:S:lexicon ω:L:nature α:L:unknown υ:L:unknown ι:S:unknown η:S:nature ε:L:position ι:L:antepenult_accent,οἳ δέ σ’ ἐπ’ Ἀλφειῷ ποταμῷ βαθυδινήεντι
Hymn 1,1,4,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,υ:L:unknown α:S:unknown ε:S:nature η:L:nature+position ε:S:nature ε:S:nature η:L:nature+position ε:S:nature ε:S:nature ει:L:nature+position ι:S:lexicon ι:S:lexicon ε:L:position ι:S:lexicon ε:S:nature αυ:L:nature ω:L:line_final,κυσαμένην Σεμέλην τεκέειν Διὶ τερπικεραύνῳ·
Hymn 1,1,5,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,α:L:paroxytone_short_ultima οι:L:nature ε:L:position η:L:nature η:L:nature ι:S:lexicon α:S:lexicon α:L:lexicon ε:S:nature ε:S:nature ου:L:nature ι:S:antepenult_accent ε:S:nature ε:L:position αι:L:line_final,"ἄλλοι δ’ ἐν Θήβῃσιν, ἄναξ, σε λέγουσι γενέσθαι,"
Hymn 1,1,6,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,0,,ευ:L:nature ο:S:nature ε:S:nature οι:L:nature ε:S:nature ε:S:nature ι:L:position ε:S:nature α:S:lexicon η:L:nature α:L:lexicon ω:L:nature+position ε:S:nature ε:S:nature ω:L:nature+position ε:L:line_final,ψευδόμενοι· σὲ δ’ ἔτικτε πατὴρ ἀνδρῶν τε θεῶν τε
Hymn 1,1,7,True,LSSLLLLLLLSSLL,LSSLLLLLLLSSLL,0.0,1,0,,ο:L:position ο:S:nature α:S:lexicon α:L:position ω:L:nature ω:L:nature+position υ:L:position ω:L:nature+position ευ:L:nature ω:L:nature ε:S:nature ο:S:nature η:L:nature η:L:line_final,"πολλὸν ἀπ’ ἀνθρώπων, κρύπτων λευκώλενον Ἥρην."
Hymn 1,1,8,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,2.0,1,1,metrical_lengthening,ε:L:position ι:S:lexicon ε:S:nature ι:L:lexicon υ:L:unknown η:L:nature υ:S:lexicon α:S:lexicon ο:L:nature ο:S:nature ο:S:nature α:L:position ε:S:nature ο:S:nature υ:L:lexicon η:L:line_final,"ἔστι δέ τις Νύση, ὕπατον ὄρος, ἀνθέον ὕλῃ,"
Hymn 1,1,9,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,1,,η:L:nature ου:L:nature οι:L:nature ι:L:unknown η:L:nature+position ε:S:nature ο:S:nature αι:L:nature υ:L:position οι:L:nature ο:S:nature ο:S:nature α:L:lexicon ω:L:line_final,"τηλοῦ Φοινίκης, σχεδὸν Αἰγύπτοιο ῥοάων,"
Hymn 1,1,10,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,2,correption,αι:L:nature οι:S:nature α:S:lexicon α:L:position η:L:nature ου:L:nature ι:S:lexicon α:S:unknown α:L:position α:S:unknown α:S:antepenult_accent ο:L:position ε:S:nature ι:S:lexicon η:L:nature οι:L:line_final,καί οἱ ἀναστήσουσιν ἀγάλματα πόλλ’ ἐνὶ νηοῖς.
Hymn 1,1,11,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,3,,ω:L:nature+position ε:S:nature α:S:lexicon ε:L:position ι:S:lexicon α:S:lexicon οι:L:nature α:L:position ω:L:nature+position ι:S:unknown ε:S:nature η:L:nature ι:S:unknown ι:S:unknown αι:L:nature ει:L:line_final,"ὣς δὲ τὰ μὲν τρία, σοὶ πάντως τριετηρίσιν αἰεὶ"
Hymn 1,1,12,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,0,,α:L:position ω:L:nature οι:L:nature ε:L:position ου:L:nature ι:S:antepenult_accent ε:S:nature η:L:nature ε:L:position α:L:lexicon ε:S:nature α:S:lexicon ο:L:position α:L:line_final,ἄνθρωποι ῥέξουσι τεληέσσας ἑκατόμβας.
Hymn 1,1,13,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,1.0,1,0,cluster_short,η:L:nature αι:L:nature υ:L:lexicon α:S:lexicon ε:S:nature η:L:nature ι:S:lexicon ε:S:nature ο:L:position υ:S:lexicon ι:S:lexicon ευ:L:nature ε:S:position ο:S:nature ι:L:lexicon ω:L:line_final,ἦ καὶ κυανέῃσιν ἐπ’ ὀφρύσι νεῦσε Κρονίων·
Hymn 1,1,14,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,1.5,1,0,correption,α:L:position ο:S:nature ι:S:lexicon αι:L:nature α:S:lexicon α:S:lexicon αι:L:nature αι:S:nature ε:S:nature ε:L:position ω:L:nature α:L:position ο:S:nature α:S:lexicon α:L:lexicon ο:L:line_final,ἀμβρόσιαι δ’ ἄρα χαῖται ἐπερρώσαντο ἄνακτος
