word,nucleus,length
αἰάντεσσι,3,S
αἰακίδαο,1,S
αἰακίδαο,2,S
αἰακίδαο,3,L
αἰακίδην,1,S
αἰακίδην,2,S
αἰακίδης,1,S
αἰακίδης,2,S
αἰακίδῃ,1,S
αἰακίδῃ,2,S
αἰακὸς,1,S
αἰγάς,1,L
αἰγίδα,1,S
αἰγίδα,2,S
αἰγίδ’,1,S
αἰγίλιπα,1,S
αἰγίλιπα,2,S
αἰγίλιπος,1,S
αἰγίλιπος,2,S
αἰγίοχος,1,S
αἰγανέῃσιν,1,S
αἰγανέῃσιν,4,S
αἰγιάλεια,1,S
αἰγιάλεια,2,S
αἰγιάλεια,4,S
αἰγιαλόν,1,S
αἰγιαλόν,2,S
αἰγιαλὸς,1,S
αἰγιαλὸς,2,S
αἰγιαλῷ,1,S
αἰγιαλῷ,2,S
αἰγιόχοιο,1,S
αἰγυπιοῖσι,1,S
αἰγυπιοῖσι,2,S
αἰγυπιὸς,1,S
αἰγυπιὸς,2,S
αἰγυπτίας,1,S
αἰγυπτίας,2,S
αἰγυπτίας,3,L
αἰειγενετάων,4,L
αἰζήϊος,2,S
αἰθέρα,2,S
αἰθέρι,2,S
αἰθίκεσσι,1,L
αἰθίκεσσι,3,S
αἰθαλόεν,1,S
αἰθαλόεσσαν,1,S
αἰθιοπῆας,1,S
αἰθιόπων,1,S
αἰθούσῃσι,3,S
αἰθούσῃσιν,3,S
αἰναρέτη,1,S
αἰνεία,2,L
αἰνείαν,2,L
αἰνείαο,2,L
αἰνείας,2,L
αἰνοτάτην,2,S
αἰνοτάτῳ,2,S
αἰνότατε,2,S
αἰνότατον,2,S
αἰνὰ,1,S
αἰολίδης,2,S
αἰπήεσσαν,3,S
αἰπεῖα,2,S
αἰπεῖαν,2,S
αἰπόλια,2,S
αἰπύ,1,S
αἰπύτιον,1,S
αἰπύτιον,2,S
αἰπὰ,1,S
αἰπὺ,1,S
αἰπὺν,1,S
αἰπὺς,1,S
αἰσυήταο,1,L
αἰσυήταο,3,L
αἰσυμνητῆρι,4,S
αἰσχροῖσιν,2,S
αἰσχυνέμεν,1,L
αἰσχύνει,1,L
αἰσύμηθεν,1,L
αἰτίη,1,S
αἰτιάασθαι,1,S
αἰτιάασθαι,2,S
αἰτιόῳτο,1,S
αἰτωλοῖσιν,3,S
αἰτώλιον,2,S
αἰτώλιος,2,S
αἰχμάς,1,L
αἰχμητάων,2,L
αἰχμητὰ,2,S
αἰχμὰς,1,L
αἰόλα,2,S
αἱματοέσσας,1,S
αἱματοέσσης,1,S
αἱματόεις,1,S
αἱματόεντα,1,S
αἱματόεντα,4,S
αἱματόεντος,1,S
αἱματόεντ’,1,S
αἱματόεσσα,1,S
αἱματόεσσα,4,S
αἱμονίδαο,2,S
αἱμονίδαο,3,L
αἱμονίδης,2,S
αἴαντα,2,S
αἴαντι,2,L
αἴας,1,L
αἴγεσιν,2,S
αἴγιναν,1,L
αἴγιον,1,S
αἴθοπα,2,S
αἴθοπι,2,S
αἴθωνι,2,S
αἴνιον,1,S
αἴνυτο,1,S
αἴνυτ’,1,S
αἴροντας,2,S
αἴσιμα,1,S
αἴσιμα,2,S
αἴσιμον,1,S
αἴσιμόν,1,S
αἴσιον,1,S
αἴσυλα,1,S
αἴσυλα,2,S
αἴσχεα,2,S
αἴσχιον,1,S
αἴτιοί,1,S
αἴτιοι,1,S
αἴτιος,1,S
αἴτιός,1,S
αἵματί,1,S
αἵματί,2,S
αἵματι,1,S
αἵματι,2,S
αἵματος,1,S
αἵματός,1,S
αἵμονά,2,S
αἵμονα,2,S
αἶαν,1,S
αἶγα,1,S
αἶγας,1,S
αἶσα,1,S
αἶσαν,1,S
αἶψά,1,S
αἶψα,1,S
αἷμά,1,S
αἷμα,1,S
αὐΐαχοι,1,S
αὐΐαχοι,2,S
αὐέρυσαν,2,S
αὐγείαο,2,L
αὐγειὰς,2,L
αὐγηϊάδαο,2,S
αὐγηϊάδαο,3,S
αὐγηϊάδαο,4,L
αὐδήεντα,3,S
αὐερύοντα,2,S
αὐερύοντα,4,S
αὐλίδα,1,S
αὐλίδα,2,S
αὐλώπιδί,2,S
αὐλώπιδί,3,S
αὐτάρ,1,L
αὐτάων,1,L
αὐτίκα,1,S
αὐτίκα,2,S
αὐτίκ’,1,S
αὐτίχ’,1,S
αὐτοκασίγνητον,2,S
αὐτοκασίγνητος,2,S
αὐτοκασιγνήτω,2,S
αὐτομέδοντα,4,S
αὐτομέδοντι,4,S
αὐτονυχὶ,2,S
αὐτονυχὶ,3,L
αὐτοσχεδίην,3,S
αὐτοσχεδίῃ,3,S
αὐτοῖσι,2,S
αὐτοῖσιν,2,S
αὐτόθι,2,S
αὐτόλυκος,2,S
αὐτόμαται,2,S
αὐτόματοι,2,S
αὐτόματος,2,S
αὐτόφι,2,S
αὐτόφιν,2,S
αὐτὰ,1,S
αὐτὰρ,1,S
αὐχένα,2,S
αὐχένι,2,S
αὔδα,1,S
αὔριον,1,S
αὖθι,1,S
αὖλιν,1,S
αὖτις,1,S
βάδην,0,S
βάθιστον,0,S
βάθυνε,0,S
βάθυνε,1,L
βάλε,0,S
βάλεν,0,S
βάλες,0,S
βάλετο,0,S
βάλετ’,0,S
βάλοι,0,S
βάλοιμι,0,S
βάλοιμι,2,S
βάλοισθα,0,S
βάλον,0,S
βάλω,0,S
βάλωμεν,0,S
βάλῃ,0,S
βάλῃσι,0,S
βάλῃσιν,0,S
βάλ’,0,S
βάρυνε,0,S
βάρυνε,1,L
βάτην,0,S
βέβασαν,1,S
βέβηκας,2,S
βέβριθε,1,L
βέβρυχεν,1,L
βέλεα,2,L
βέλεσσιν,2,S
βένθεσι,2,S
βένθεσσιν,2,S
βήσαμεν,1,S
βήσσῃσιν,2,S
βίαντά,0,S
βίαντά,2,S
βίαντος,0,S
βίας,0,S
βίας,1,L
βίη,0,S
βίην,0,S
βίης,0,S
βίηφί,0,S
βίηφί,2,S
βίηφι,0,S
βίηφι,2,S
βίηφιν,0,S
βίῃ,0,S
βαθέην,0,S
βαθέης,0,S
βαθέ’,0,S
βαθείης,0,S
βαθείῃ,0,S
βαθείῃσιν,0,S
βαθεῖα,0,S
βαθεῖα,2,S
βαθεῖαν,0,S
βαθεῖαν,2,S
βαθυδίνης,0,S
βαθυδίνης,1,S
βαθυδίνης,2,L
βαθυδινήεντα,0,S
βαθυδινήεντα,1,S
βαθυδινήεντα,2,L
βαθυδινήεντα,5,S
βαθυδινήεντος,0,S
βαθυδινήεντος,1,S
βαθυδινήεντος,2,L
βαθυζώνους,0,S
βαθυκλῆα,0,S
βαθυκλῆα,3,L
βαθυκόλπων,0,S
βαθυκόλπων,1,S
βαθυρρείταο,0,S
βαθυρρείταο,3,L
βαθυρρόου,0,S
βαθύκολποι,0,S
βαθύκολποι,1,S
βαθύλειμον,0,S
βαθύλειμον,1,S
βαθύρροον,0,S
βαθύσχοινον,0,S
βαθὺ,0,S
βαθὺ,1,S
βαθὺν,0,S
βαθὺς,0,S
βαλέειν,0,S
βαλέτην,0,S
βαλέω,0,S
βαλίε,0,S
βαλίε,1,S
βαλίον,0,S
βαλίον,1,S
βαλεῖν,0,S
βαλούσας,0,S
βαλόντε,0,S
βαλόντες,0,S
βαλών,0,S
βαλὼν,0,S
βαλῶ,0,S
βαρέα,0,S
βαρβαροφώνων,1,S
βαρείας,0,S
βαρείης,0,S
βαρείῃ,0,S
βαρεῖαι,0,S
βαρεῖαν,0,S
βαρυνθέν,0,S
βαρυνθεὶς,0,S
βαρύθει,0,S
βαρύθει,1,S
βαρύνεται,0,S
βαρύνεται,1,L
βαρὺ,0,S
βασίλευε,0,S
βασίλευε,1,S
βασίλευεν,0,S
βασίλευεν,1,S
βασιλήων,0,L
βασιλήων,1,L
βασιλήϊον,0,S
βασιλήϊον,1,S
βασιλήϊον,3,S
βασιλεύς,0,S
βασιλεύς,1,S
βασιλεύσομεν,0,S
βασιλεύσομεν,1,S
βασιλεύτατός,0,S
βασιλεύτατός,1,S
