work,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Theogony,1,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,2,,ου:L:nature α:L:lexicon ω:L:nature ε:S:nature ι:S:unknown ω:L:nature ι:S:unknown α:S:lexicon ω:L:nature α:L:position ω:L:nature ε:S:nature α:S:lexicon ει:L:nature ει:L:line_final,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theogony,2,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,αι:L:nature ε:S:nature ι:S:unknown ω:L:nature ο:S:nature ε:S:nature ου:L:nature ι:S:lexicon ο:S:nature ο:L:position ε:S:nature α:S:lexicon ε:L:position α:S:lexicon ε:S:nature ο:L:position ε:L:line_final,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theogony,3,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,αι:L:nature ε:S:nature ε:S:nature ι:L:lexicon η:L:nature η:L:nature ι:S:lexicon ο:S:nature ει:L:nature ε:S:nature α:S:lexicon ο:L:position α:S:lexicon α:S:lexicon οι:L:nature ι:L:lexicon,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theogony,4,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,ο:L:position ευ:L:nature+position αι:L:nature αι:L:nature ω:L:nature ο:S:nature ε:S:nature ι:L:position ε:S:nature ε:S:nature ο:L:position ο:S:nature ι:S:lexicon ω:L:nature ο:L:line_final,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theogony,5,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,1.5,1,0,,αι:L:nature ε:S:nature ο:S:nature ε:L:position α:S:lexicon ε:S:nature αι:L:nature ε:S:nature ε:S:nature α:L:lexicon ο:S:nature α:S:lexicon ε:L:position η:L:nature+position οι:L:nature ο:L:line_final,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theogony,6,True,LLLLLLLLLSSLL,LLLLLLLLLSSLL,0.0,1,0,,η:L:nature ι:L:position ου:L:nature+position η:L:nature η:L:nature η:L:nature ο:L:position ει:L:nature ου:L:nature+position α:S:lexicon ε:S:nature οι:L:nature ο:L:line_final,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theogony,7,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,1.5,1,1,,α:L:position ο:S:nature α:S:lexicon ω:L:nature ε:S:nature ι:S:unknown ω:L:nature ι:S:lexicon ο:S:nature ου:L:nature ε:S:nature ε:S:nature οι:L:nature η:L:nature α:L:position ο:L:line_final,ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο
Theogony,8,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,α:L:lexicon ου:L:nature ι:L:lexicon ε:S:nature ο:S:nature ε:L:position α:S:lexicon ε:S:nature ε:L:position ω:L:nature α:L:position ο:S:nature ε:S:nature ο:L:position ι:L:lexicon,"καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν."
Theogony,9,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,0,correption,ε:L:position ε:S:nature α:S:lexicon ο:L:position υ:S:lexicon ε:S:nature αι:L:nature ε:S:nature α:S:lexicon υ:L:position ε:S:nature αι:S:nature η:L:nature ε:S:nature ι:S:lexicon ο:L:position η:L:line_final,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theogony,10,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,1.0,1,0,lexicon_overridden,ε:L:position υ:S:lexicon ι:S:lexicon αι:L:nature+position ει:L:nature ο:L:position ε:S:nature ι:S:lexicon α:L:position ε:S:nature α:S:lexicon ο:L:position α:S:lexicon ι:S:lexicon ει:L:nature αι:L:line_final,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theogony,11,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,υ:L:position ευ:L:nature αι:L:nature ι:S:lexicon α:S:lexicon αι:L:nature ι:S:lexicon ο:S:nature ο:L:position αι:L:nature ο:L:position ι:S:lexicon α:S:lexicon η:L:nature η:L:line_final,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theogony,12,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,0,,α:L:position ε:S:nature ι:S:lexicon η:L:nature+position υ:S:lexicon ε:S:nature οι:L:nature ι:S:lexicon ε:S:nature ι:L:lexicon οι:L:nature ε:L:position ε:S:nature α:S:lexicon υι:L:nature α:L:lexicon,"Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,"
