work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Dionysiaca,1,0,True,LSSLSSLSSLSSLSSLLLSSLSLSSLSSLSSLL,LSSLSSLSSLSSLSSLLLSSLSLSSLSSLSSLL,99.0,0,4,unmetrical,ω:L:nature ο:S:nature ε:S:nature ει:L:nature+position ο:S:nature ι:S:lexicon ω:L:nature α:S:lexicon α:S:unknown ε:L:position ο:S:nature ο:S:nature α:L:position α:S:unknown α:S:antepenult_accent υ:L:position η:L:nature+position αι:L:nature α:S:lexicon α:S:lexicon αι:L:nature+position υ:S:unknown ω:L:nature ο:S:nature α:S:unknown α:L:position ο:S:nature ε:S:nature ο:L:position ο:S:nature ο:S:nature α:L:position ω:L:line_final,"πρῶτον ἔχει Κρονίωνα, φαεσφόρον ἅρπαγα νύμφης, καὶ παλάμαις Τυφῶνος ἀρασσόμενον πόλον ἄστρων."
Dionysiaca,1,1,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ει:L:nature ε:S:nature ε:S:nature α:L:lexicon ο:S:nature ι:S:unknown α:L:unknown ο:S:nature ι:S:lexicon α:L:position ο:S:nature ο:S:nature αι:L:nature ο:S:nature ο:S:nature αυ:L:nature η:L:line_final,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dionysiaca,1,2,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,3,,υ:L:position ι:S:unknown ι:S:unknown ω:L:nature+position ι:L:position η:L:nature ι:S:properispomenon ο:S:nature ο:L:position ο:S:nature ο:S:nature α:L:position α:S:unknown ε:S:nature αυ:L:nature ου:L:line_final,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dionysiaca,1,3,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,αι:L:nature+position ε:S:nature ο:S:nature η:L:nature+position ε:S:nature ε:S:nature η:L:nature+position α:S:unknown α:S:unknown η:L:nature ο:S:nature ο:S:nature ει:L:nature ε:S:nature ε:S:nature υ:L:position η:L:line_final,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην
Dionysiaca,1,4,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,α:L:position ου:L:nature ι:L:position ο:S:nature ο:S:nature οι:L:nature ο:S:nature ο:S:nature ε:L:position υ:S:lexicon ο:S:nature υ:L:position ο:S:nature α:S:lexicon ει:L:nature α:L:lexicon,"Βάκχου δισσοτόκοιο, τὸν ἐκ πυρὸς ὑγρὸν ἀείρας"
Dionysiaca,1,5,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,2,,ευ:L:nature+position ε:S:nature ο:S:nature η:L:nature ι:S:unknown ε:S:nature ε:L:position ο:S:nature α:S:unknown αι:L:nature ευ:L:nature οι:L:nature ο:S:nature ε:S:nature ου:L:nature η:L:line_final,"Ζεὺς βρέφος ἡμιτέλεστον ἀμαιεύτοιο τεκούσης,"
Dionysiaca,1,6,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,1,,ει:L:nature ο:S:nature ε:S:nature αι:L:nature+position α:S:lexicon α:S:lexicon η:L:nature ι:S:lexicon ο:S:nature η:L:nature+position η:L:nature οι:L:nature ο:S:nature α:S:unknown α:L:position α:L:line_final,"φειδομέναις παλάμῃσι τομὴν μηροῖο χαράξας,"
Dionysiaca,1,7,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,0,,α:L:position ε:S:nature ι:S:antepenult_accent α:L:position ι:S:lexicon ο:S:nature ευ:L:nature ε:S:nature α:S:lexicon η:L:nature+position αι:L:nature ο:L:position ι:S:lexicon α:S:lexicon η:L:nature η:L:line_final,"ἄρσενι γαστρὶ λόχευσε, πατὴρ καὶ πότνια μήτηρ,"
Dionysiaca,1,8,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,ευ:L:nature ει:L:nature ω:L:nature+position ο:S:nature ο:S:nature α:L:paroxytone_short_ultima ο:S:nature ε:S:nature ει:L:nature ο:S:nature ο:S:nature ε:L:position ι:S:antepenult_accent α:S:unknown η:L:nature ω:L:line_final,"εὖ εἰδὼς τόκον ἄλλον, ἐπεὶ γονόεντι καρήνῳ,"
Dionysiaca,1,9,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,2,,α:L:position ο:S:nature ο:S:nature ο:L:position ο:S:nature α:S:unknown ι:L:position ο:S:nature ε:S:nature ω:L:nature ε:L:position υ:L:unknown ο:S:nature ι:S:antepenult_accent ο:L:position η:L:line_final,"ἄσπορον ὄγκον ἄπιστον ἔχων ἐγκύμονι κόρσῃ,"
Dionysiaca,1,10,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,1,,ευ:L:nature ε:S:nature ι:S:lexicon α:L:position α:L:position ου:L:nature α:S:antepenult_accent α:S:unknown η:L:nature ο:L:position ι:L:position ε:S:nature α:S:lexicon η:L:nature η:L:line_final,τεύχεσιν ἀστράπτουσαν ἀνηκόντιζεν Ἀθήνην.
Dionysiaca,1,11,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,α:L:position α:S:unknown ε:S:nature οι:L:nature α:L:position η:L:nature α:S:antepenult_accent ι:S:unknown α:L:position α:S:unknown ε:S:nature υ:L:position α:S:unknown α:S:antepenult_accent ου:L:nature αι:L:line_final,"ἄξατέ μοι νάρθηκα, τινάξατε κύμβαλα, Μοῦσαι,"
Dionysiaca,1,12,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,5,,αι:L:nature α:S:unknown α:S:unknown η:L:nature ο:S:nature ε:S:nature υ:L:paroxytone_short_ultima ο:S:nature α:S:unknown ει:L:nature ο:S:nature ε:S:nature ου:L:nature ι:S:unknown ο:S:nature υ:L:unknown ου:L:line_final,καὶ παλάμῃ δότε θύρσον ἀειδομένου Διονύσου·
Dionysiaca,1,13,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,α:L:position α:S:lexicon ο:S:nature ου:L:nature+position αυ:L:nature ο:L:position α:S:antepenult_accent α:S:unknown ω:L:nature α:S:lexicon α:S:lexicon ει:L:nature ο:S:nature ι:S:antepenult_accent η:L:nature ω:L:line_final,"ἀλλὰ χοροῦ ψαύοντα, Φάρῳ παρὰ γείτονι νήσῳ,"
Dionysiaca,1,14,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,η:L:nature α:S:unknown ε:S:nature οι:L:nature+position ω:L:nature η:L:nature α:S:properispomenon ο:S:nature υ:L:position ο:S:nature ο:S:nature ο:L:position α:S:lexicon α:S:lexicon ει:L:nature η:L:line_final,"στήσατέ μοι Πρωτῆα πολύτροπον, ὄφρα φανείη"
Dionysiaca,1,15,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,οι:L:nature ι:S:lexicon ο:S:nature ει:L:nature ο:S:nature ε:S:nature ω:L:nature ο:S:nature ι:S:lexicon οι:L:nature ι:S:lexicon ο:S:nature υ:L:paroxytone_short_ultima ο:S:nature α:S:unknown α:L:position ω:L:line_final,"ποικίλον εἶδος ἔχων, ὅτι ποικίλον ὕμνον ἀράσσω·"
Dionysiaca,1,16,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,1.0,1,0,cluster_short,ει:L:nature α:S:lexicon ε:S:nature ε:L:position υ:L:position ει:L:nature ε:S:position α:S:lexicon ω:L:nature+position υ:L:position ου:L:nature ε:S:nature ο:S:nature ο:L:position ω:L:line_final,"εἰ γὰρ ἐφερπύσσειε δράκων κυκλούμενος ὁλκῷ,"
Dionysiaca,1,17,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,ε:L:position ω:L:nature ει:L:nature ο:S:nature α:S:lexicon ε:L:position ο:S:nature ο:S:nature ω:L:nature+position ι:L:position ω:L:nature ε:S:nature ι:S:antepenult_accent υ:L:position ω:L:line_final,"μέλψω θεῖον ἄεθλον, ὅπως κισσώδεϊ θύρσῳ"
