work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Argonautica,1,1,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,α:L:position ο:S:nature ε:S:nature ο:L:position ε:S:nature ο:S:nature οι:L:nature ε:S:nature α:S:unknown αι:L:nature ε:S:nature ε:S:nature ω:L:nature+position ε:S:nature α:S:lexicon ω:L:nature ω:L:line_final,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argonautica,1,2,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,1.5,1,0,correption,η:L:nature ο:S:nature αι:S:nature οι:L:nature ο:L:position οι:L:nature ο:S:nature α:S:lexicon α:L:lexicon ο:S:nature α:S:lexicon αι:L:nature ι:S:lexicon α:S:lexicon ε:L:position α:L:line_final,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argonautica,1,3,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,3,,υ:L:unknown α:S:unknown ε:S:nature α:L:position α:S:lexicon ι:S:lexicon η:L:nature ο:S:nature ε:S:nature η:L:nature ο:S:nature υ:S:unknown η:L:nature ε:S:nature ι:S:lexicon α:L:lexicon ο:L:line_final,Κυανέας βασιλῆος ἐφημοσύνῃ Πελίαο
Argonautica,1,4,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,υ:L:lexicon ει:L:nature ο:L:position ε:S:nature α:S:lexicon ω:L:nature α:S:properispomenon ε:S:nature υ:L:position υ:S:unknown ο:S:nature η:L:nature α:S:lexicon α:S:lexicon α:L:position ω:L:line_final,χρύσειον μετὰ κῶας ἐύζυγον ἤλασαν Ἀργώ.
Argonautica,1,5,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,οι:L:nature η:L:nature+position α:L:lexicon ε:S:nature ι:S:lexicon η:L:nature+position α:S:unknown ι:S:unknown ε:L:position υ:S:lexicon ε:S:nature ω:L:nature+position ι:S:lexicon ο:S:nature ι:L:lexicon ω:L:line_final,"τοίην γὰρ Πελίης φάτιν ἔκλυεν, ὥς μιν ὀπίσσω"
Argonautica,1,6,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,1,,οι:L:nature α:S:lexicon ε:S:nature ει:L:nature+position υ:S:lexicon ε:S:nature η:L:nature ου:L:nature α:L:lexicon ε:S:nature ο:S:nature ο:L:position ι:S:unknown ι:S:lexicon οι:L:nature ο:L:line_final,"μοῖρα μένει στυγερή, τοῦδ’ ἀνέρος, ὅντιν’ ἴδοιτο"
Argonautica,1,7,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature ο:S:nature ε:S:nature οι:L:nature ο:S:nature ε:S:nature ι:L:unknown ο:S:nature υ:S:lexicon ε:L:position ε:S:nature ι:S:lexicon η:L:nature ι:S:lexicon α:S:lexicon η:L:nature αι:L:line_final,"δημόθεν οἰοπέδιλον, ὑπ’ ἐννεσίῃσι δαμῆναι."
Argonautica,1,8,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,η:L:nature ο:L:position ου:L:nature ε:S:nature ε:S:nature ει:L:nature α:S:lexicon ε:S:nature η:L:nature+position α:S:lexicon α:S:lexicon α:L:position ι:S:unknown ι:S:unknown η:L:nature ω:L:line_final,δηρὸν δ’ οὐ μετέπειτα τεὴν κατὰ βάξιν Ἰήσων
Argonautica,1,9,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ει:L:nature ε:S:nature ι:S:unknown οι:L:nature ο:S:nature ε:S:nature ε:L:position α:S:lexicon ι:S:lexicon ω:L:nature+position ι:S:lexicon α:S:lexicon ο:L:position ι:S:lexicon α:S:unknown αυ:L:nature ου:L:line_final,χειμερίοιο ῥέεθρα κιὼν διὰ ποσσὶν Ἀναύρου
Argonautica,1,10,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,0,lexicon_overridden,α:L:paroxytone_short_ultima ο:S:nature ε:S:nature ε:L:position ε:S:nature α:S:lexicon ω:L:nature ε:S:nature υ:S:lexicon ι:L:lexicon υ:S:lexicon ο:S:nature α:L:paroxytone_short_ultima ο:S:nature ε:S:nature ε:L:position ε:L:line_final,"ἄλλο μὲν ἐξεσάωσεν ὑπ’ ἰλύος, ἄλλο δ’ ἔνερθεν"
Argonautica,1,11,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,α:L:lexicon ι:S:lexicon ε:S:nature αυ:L:nature ι:S:lexicon ε:S:nature ι:L:unknown ο:S:nature ε:S:nature ι:L:position ο:S:nature ε:S:nature ο:L:position ο:S:nature ο:S:nature η:L:nature ι:L:properispomenon,κάλλιπεν αὖθι πέδιλον ἐνισχόμενον προχοῇσιν.
Argonautica,1,12,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,2,,ι:L:lexicon ε:S:nature ο:S:nature ε:L:position ε:S:nature ι:S:unknown η:L:nature αυ:L:nature ο:L:position ε:S:nature ο:S:nature α:L:position ι:S:unknown ο:S:nature η:L:nature ω:L:line_final,ἵκετο δ’ ἐς Πελίην αὐτοσχεδὸν ἀντιβολήσων
Argonautica,1,13,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.5,1,2,correption,ει:L:nature α:S:unknown ι:S:unknown η:L:nature η:L:nature+position α:L:lexicon ι:S:lexicon ο:S:nature ει:L:nature α:L:lexicon ω:L:nature ι:S:lexicon αι:S:nature α:L:paroxytone_short_ultima οι:L:line_final,"εἰλαπίνης, ἣν πατρὶ Ποσειδάωνι καὶ ἄλλοις"
Argonautica,1,14,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ε:L:position ε:S:nature ε:S:nature οι:L:nature η:L:nature η:L:nature+position ε:S:nature ε:S:nature α:L:position ι:S:paroxytone_short_ultima ο:S:nature ου:L:nature α:S:unknown ε:S:nature ι:L:position ε:L:line_final,"ῥέζε θεοῖς, Ἥρης δὲ Πελασγίδος οὐκ ἀλέγιζεν."
Argonautica,1,15,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.5,1,1,correption,αι:L:nature+position α:S:lexicon ε:S:nature ο:L:position ε:S:nature ι:S:unknown ω:L:nature ε:L:position α:L:position α:S:lexicon ο:S:nature αι:L:nature οι:S:nature α:S:lexicon ε:L:position ο:L:line_final,"αἶψα δὲ τόνγ’ ἐσιδὼν ἐφράσσατο, καί οἱ ἄεθλον"
Argonautica,1,16,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,3,,ε:L:position υ:S:unknown ε:S:nature αυ:L:nature ι:S:unknown ι:S:lexicon η:L:nature+position ο:S:nature υ:S:unknown η:L:nature ε:S:nature ο:S:nature ο:L:position ε:S:nature ι:S:lexicon ο:L:position ω:L:line_final,"ἔντυε ναυτιλίης πολυκηδέος, ὄφρ’ ἐνὶ πόντῳ"
Argonautica,1,17,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,0,correption,η:L:nature ε:S:nature αι:S:nature α:L:position ο:S:nature α:S:lexicon οι:L:nature ι:S:lexicon ε:S:nature α:L:lexicon α:S:lexicon ι:S:lexicon ο:L:position ο:S:nature ο:S:nature ε:L:position η:L:line_final,ἠὲ καὶ ἀλλοδαποῖσι μετ’ ἀνδράσι νόστον ὀλέσσῃ.
Argonautica,1,18,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,0,,η:L:nature α:S:lexicon ε:S:nature ου:L:nature οι:L:nature+position ο:L:position ε:S:nature ε:S:nature ι:L:position ει:L:nature ου:L:nature ι:S:antepenult_accent α:S:lexicon οι:L:nature οι:L:line_final,νῆα μὲν οὖν οἱ πρόσθεν ἐπικλείουσιν ἀοιδοὶ
Argonautica,1,19,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,α:L:paroxytone_short_ultima ο:S:nature α:S:lexicon η:L:nature αι:L:nature η:L:nature+position α:S:unknown ε:S:nature ει:L:nature υ:S:lexicon ο:S:nature η:L:nature ο:S:nature υ:S:lexicon η:L:nature ι:L:lexicon,Ἄργον Ἀθηναίης καμέειν ὑποθημοσύνῃσιν.
Argonautica,1,20,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,2.0,1,0,correption,υ:L:lexicon α:S:lexicon ε:S:nature ω:L:nature ε:S:nature ε:S:nature η:L:nature+position ε:S:nature αι:S:nature ου:L:nature ο:S:nature α:S:lexicon υ:L:lexicon η:L:nature αι:L:nature η:L:line_final,νῦν δ’ ἂν ἐγὼ γενεήν τε καὶ οὔνομα μυθησαίμην
Argonautica,1,21,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature ω:L:nature ω:L:nature+position ο:S:nature ι:S:unknown η:L:nature+position ε:S:nature ο:S:nature ου:L:nature α:S:lexicon ο:S:nature ο:L:position α:S:lexicon ε:S:nature ε:L:position α:L:antepenult_accent,"ἡρώων, δολιχῆς τε πόρους ἁλός, ὅσσα τ’ ἔρεξαν"
Argonautica,1,22,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,α:L:position ο:S:nature ε:S:nature οι:L:nature ου:L:nature αι:L:nature υ:S:unknown ο:S:nature η:L:nature ο:S:nature ε:S:nature ει:L:nature ε:S:nature α:S:lexicon οι:L:nature η:L:line_final,πλαζόμενοι· Μοῦσαι δ’ ὑποφήτορες εἶεν ἀοιδῆς.
Argonautica,1,23,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,1,,ω:L:nature α:S:unknown υ:S:lexicon ο:L:position η:L:nature ο:L:position η:L:nature ω:L:nature ε:S:nature α:S:lexicon ο:L:position α:S:lexicon ο:S:nature αυ:L:nature η:L:line_final,"πρῶτά νυν Ὀρφῆος μνησώμεθα, τόν ῥά ποτ’ αὐτὴ"
Argonautica,1,24,True,LSSLLLSSLSSLLLL,LSSLLLSSLSSLLLL,3.0,1,3,correption,α:L:position ι:S:unknown ο:S:nature η:L:nature+position η:L:nature ι:L:unknown ι:S:antepenult_accent α:S:unknown ι:L:position ε:S:nature αι:S:nature ευ:L:nature η:L:nature ει:L:nature α:L:lexicon,Καλλιόπη Θρήικι φατίζεται εὐνηθεῖσα
Argonautica,1,25,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,0,,οι:L:nature α:L:position ω:L:nature+position ο:S:nature ι:S:lexicon η:L:nature+position ι:L:position η:L:nature ι:S:paroxytone_short_ultima ο:S:nature α:L:paroxytone_short_ultima ι:S:lexicon ε:S:nature ε:L:position αι:L:line_final,Οἰάγρῳ σκοπιῆς Πιμπληίδος ἄγχι τεκέσθαι
Argonautica,1,26,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,αυ:L:nature α:L:lexicon ο:L:position ε:S:nature ε:S:nature ου:L:nature ι:S:antepenult_accent α:S:lexicon ει:L:nature ε:S:nature α:S:lexicon ου:L:nature ε:S:nature ι:S:lexicon ε:L:position α:L:line_final,αὐτὰρ τόνγ’ ἐνέπουσιν ἀτειρέας οὔρεσι πέτρας
Argonautica,1,27,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,2,correption,ε:L:position αι:S:nature α:S:unknown οι:L:nature α:L:unknown ω:L:nature ε:S:nature ο:S:nature η:L:nature ο:S:nature α:S:lexicon ω:L:nature+position ε:S:nature ε:S:nature ε:L:position α:L:lexicon,θέλξαι ἀοιδάων ἐνοπῇ ποταμῶν τε ῥέεθρα.
Argonautica,1,28,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,1,,η:L:nature οι:L:nature α:L:position ι:S:unknown α:S:paroxytone_short_ultima ε:L:position ει:L:nature η:L:nature ε:S:nature ι:S:lexicon η:L:nature α:S:lexicon α:S:lexicon ο:L:position η:L:line_final,"φηγοὶ δ’ ἀγριάδες, κείνης ἔτι σήματα μολπῆς,"
Argonautica,1,29,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,2,,α:L:position η:L:nature+position η:L:nature ι:S:unknown ι:S:unknown η:L:nature+position ω:L:nature η:L:nature ε:S:nature ι:S:lexicon η:L:nature ε:S:nature ο:S:nature ω:L:nature αι:L:line_final,ἀκτῆς Θρηικίης Ζώνης ἔπι τηλεθόωσαι
Argonautica,1,30,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,1,correption,ε:L:position ει:L:nature η:L:nature+position ι:S:unknown ο:S:nature ω:L:nature ι:S:antepenult_accent ε:S:nature η:L:nature+position ι:S:lexicon οι:S:nature α:L:lexicon ο:S:nature ε:S:nature ι:L:position ο:L:line_final,"ἑξείης στιχόωσιν ἐπήτριμοι, ἃς ὅγ’ ἐπιπρὸ"
Argonautica,1,31,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,ε:L:position ο:S:nature ε:S:nature α:L:position ο:L:position ι:L:position ι:S:lexicon α:S:unknown η:L:nature α:S:unknown ε:S:nature ι:L:unknown ε:S:nature ι:S:unknown η:L:nature ε:L:line_final,θελγομένας φόρμιγγι κατήγαγε Πιερίηθεν.
Argonautica,1,32,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,2,,ο:L:position ε:S:nature α:S:unknown ε:L:position η:L:nature οι:L:nature ο:S:nature ε:S:nature ω:L:nature ε:S:nature α:S:unknown ω:L:nature ο:S:nature α:S:lexicon ε:L:position ω:L:line_final,Ὀρφέα μὲν δὴ τοῖον ἑῶν ἐπαρωγὸν ἀέθλων
Argonautica,1,33,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,αι:L:nature ο:S:nature ι:S:lexicon η:L:nature+position ει:L:nature ω:L:nature ο:S:nature ε:S:nature η:L:nature ο:S:nature υ:S:unknown η:L:nature ι:S:antepenult_accent ι:S:lexicon η:L:nature α:L:lexicon,Αἰσονίδης Χείρωνος ἐφημοσύνῃσι πιθήσας
Argonautica,1,34,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,2,,ε:L:position α:S:lexicon ο:S:nature ι:L:lexicon ε:S:nature ι:S:lexicon η:L:nature ι:L:position ω:L:nature ι:S:unknown ι:S:unknown οι:L:nature α:S:lexicon ε:S:nature ο:L:position α:L:lexicon,"δέξατο, Πιερίῃ Βιστωνίδι κοιρανέοντα."
Argonautica,1,35,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,1,,η:L:nature υ:S:lexicon ε:S:nature α:L:position ε:S:nature ι:S:unknown ω:L:nature αυ:L:nature ο:L:position ε:S:nature ο:S:nature ο:L:position α:S:lexicon ο:S:nature η:L:nature η:L:line_final,"ἤλυθε δ’ Ἀστερίων αὐτοσχεδόν, ὅν ῥα Κομήτης"
Argonautica,1,36,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,5,,ει:L:nature α:S:lexicon ο:S:nature ι:L:lexicon η:L:nature ε:L:position ο:S:nature ε:S:nature υ:L:unknown α:S:unknown ι:S:antepenult_accent α:L:unknown ι:S:unknown α:S:unknown οι:L:nature ο:L:line_final,"γείνατο δινήεντος ἐφ’ ὕδασιν Ἀπιδανοῖο,"
Argonautica,1,37,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.5,1,3,correption,ει:L:nature ε:S:nature ι:S:unknown α:L:unknown ο:S:nature ε:S:nature ο:L:position υ:L:position η:L:nature ι:S:unknown ου:S:nature α:L:position ο:S:nature ι:S:lexicon αι:L:nature ω:L:line_final,"Πειρεσιὰς ὄρεος Φυλληίου ἀγχόθι ναίων,"
Argonautica,1,38,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,4,,ε:L:position α:S:lexicon ε:S:nature α:L:unknown ι:S:unknown α:S:unknown ο:L:position ε:S:nature ε:S:nature α:L:lexicon αι:L:nature ι:L:lexicon ο:S:nature ε:S:nature ι:L:unknown ευ:L:line_final,ἔνθα μὲν Ἀπιδανός τε μέγας καὶ δῖος Ἐνιπεὺς
Argonautica,1,39,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,0,correption,α:L:position ω:L:nature υ:L:position ο:S:nature ε:S:nature ο:L:position αι:S:nature α:S:lexicon ο:L:position ο:S:nature ε:S:nature ει:L:nature ε:S:nature ι:S:lexicon ο:L:position ε:L:line_final,"ἄμφω συμφορέονται, ἀπόπροθεν εἰς ἓν ἰόντες."
Argonautica,1,40,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,α:L:lexicon ι:L:lexicon α:L:lexicon ε:S:nature ι:S:lexicon οι:L:nature ι:S:lexicon ι:S:lexicon ω:L:nature+position ο:S:nature υ:S:unknown η:L:nature ο:S:nature ι:S:lexicon α:L:lexicon ε:L:line_final,Λάρισαν δ’ ἐπὶ τοῖσι λιπὼν Πολύφημος ἵκανεν
Argonautica,1,41,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,2,,ει:L:nature α:S:unknown ι:S:unknown η:L:nature ο:L:position ι:L:lexicon ε:S:nature ε:S:nature ι:L:position ε:S:nature ε:S:nature ω:L:nature+position α:S:lexicon ι:S:lexicon α:L:lexicon ω:L:line_final,"Εἰλατίδης, ὃς πρὶν μὲν ἐρισθενέων Λαπιθάων,"
Argonautica,1,42,True,LSSLLLSSLSSLLLL,LSSLLLSSLSSLLLL,1.5,1,0,,ο:L:position ο:S:nature ε:S:nature ε:L:position αυ:L:nature οι:L:nature+position α:S:lexicon ι:S:lexicon αι:L:nature ε:S:nature ι:S:lexicon ω:L:nature η:L:nature+position ο:L:position ο:L:line_final,"ὁππότε Κενταύροις Λαπίθαι ἐπὶ θωρήσσοντο,"
