work,book,n,id,n_syll,phones,quantity,accent,foot,flags,detail,text
Eros Drapeta,1,1,mo1_1_1,16,h aː # k yˊ p . r i s # t oˋ n # eˊ . r ɔː . t a # t oˋ n # h yi . eˊ . a # m a k . r oˋ n # e . b ɔːˊ s . t r eː,LLLSSLSSLSSLSSLL,0A0GA00G0A00G0A0,1122233344455566,1:position_ambiguous;2:lexicon;11:position_ambiguous,"[{""text"": ""Ἁ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""h"", ""aː""], ""flags"": []}, {""text"": ""Κύπ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""k"", ""y"", ""p""], ""flags"": [""position_ambiguous""]}, {""text"": ""ρις"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""r"", ""i"", ""s""], ""flags"": [""lexicon""]}, {""text"": ""τὸν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""t"", ""o"", ""n""], ""flags"": []}, {""text"": ""Ἔ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""e""], ""flags"": []}, {""text"": ""ρω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""r"", ""ɔː""], ""flags"": []}, {""text"": ""τα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""τὸν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""t"", ""o"", ""n""], ""flags"": []}, {""text"": ""υἱ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""h"", ""yi""], ""flags"": []}, {""text"": ""έ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""e""], ""flags"": []}, {""text"": ""α"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""a""], ""flags"": []}, {""text"": ""μακ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""m"", ""a"", ""k""], ""flags"": [""position_ambiguous""]}, {""text"": ""ρὸν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""r"", ""o"", ""n""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""e""], ""flags"": []}, {""text"": ""βώσ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""b"", ""ɔː"", ""s""], ""flags"": []}, {""text"": ""τρει·"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""t"", ""r"", ""eː""], ""flags"": []}]",Ἁ Κύπρις τὸν Ἔρωτα τὸν υἱέα μακρὸν ἐβώστρει·
Eros Drapeta,1,2,mo1_1_2,17,h oˊ s . t i s # e . n iˋ # t r i . oˊ . d oi . s i # p l a . n ɔːˊ . m e . n o n # eːˆ . d e n # eˊ . r ɔː . t a,LSSLSSLSSLSSLSSLL,A00G0A000A00C0A00,11122233344455566,3:lexicon;16:line_final_ambiguous,"[{""text"": ""’ὅσ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""h"", ""o"", ""s""], ""flags"": []}, {""text"": ""τις"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""t"", ""i"", ""s""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""e""], ""flags"": []}, {""text"": ""νὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""n"", ""i""], ""flags"": [""lexicon""]}, {""text"": ""τρι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""t"", ""r"", ""i""], ""flags"": []}, {""text"": ""ό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""o""], ""flags"": []}, {""text"": ""δοι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""d"", ""oi""], ""flags"": []}, {""text"": ""σι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""πλα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""p"", ""l"", ""a""], ""flags"": []}, {""text"": ""νώ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""n"", ""ɔː""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""νον"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""n"", ""o"", ""n""], ""flags"": []}, {""text"": ""εἶ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 5, ""ph"": [""eː""], ""flags"": []}, {""text"": ""δεν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""d"", ""e"", ""n""], ""flags"": []}, {""text"": ""Ἔ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""e""], ""flags"": []}, {""text"": ""ρω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""r"", ""ɔː""], ""flags"": []}, {""text"": ""τα,"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""t"", ""a""], ""flags"": [""line_final_ambiguous""]}]","’ ὅστις ἐνὶ τριόδοισι πλανώμενον εἶδεν Ἔρωτα,"
Eros Drapeta,1,3,mo1_1_3,16,d r aː . p e . t iˊ . d aː s # e . m oˊ s # e s . t i n # h o # m aː . n yːˊ . s a z # g eˊ . r a s # h e . k s eːˆ,LSSLSSLSSLLLSSLL,00A00A0000A0A00C,1112223334455566,11:position_ambiguous,"[{""text"": ""δρα"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""d"", ""r"", ""aː""], ""flags"": []}, {""text"": ""πε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""τί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""t"", ""i""], ""flags"": []}, {""text"": ""δας"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""d"", ""aː"", ""s""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""e""], ""flags"": []}, {""text"": ""μός"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""m"", ""o"", ""s""], ""flags"": []}, {""text"": ""ἐσ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e"", ""s""], ""flags"": []}, {""text"": ""τιν·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""i"", ""n""], ""flags"": []}, {""text"": ""ὁ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""h"", ""o""], ""flags"": []}, {""text"": ""μα"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""m"", ""aː""], ""flags"": []}, {""text"": ""νύ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""n"", ""yː""], ""flags"": []}, {""text"": ""σας"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""s"", ""a"", ""z""], ""flags"": [""position_ambiguous""]}, {""text"": ""γέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""g"", ""e""], ""flags"": []}, {""text"": ""ρας"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""r"", ""a"", ""s""], ""flags"": []}, {""text"": ""ἑ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""h"", ""e""], ""flags"": []}, {""text"": ""ξεῖ·"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 6, ""ph"": [""k"", ""s"", ""eː""], ""flags"": []}]",δραπετίδας ἐμός ἐστιν· ὁ μανύσας γέρας ἑξεῖ·
Eros Drapeta,1,4,mo1_1_4,16,m i s . tʰ oˊ s # t oi # t oˋ # pʰ iˊ . l ɛː . m a # t oˋ # k yˊ p . r i . d o s # ɛːˋ n # d a . g aˊ . g ɛːi # n i n,LLLSSLSSLSSLSSLL,0A0GA00GA00G0A00,1122233344455566,0:position_ambiguous;8:position_ambiguous;15:line_final_ambiguous,"[{""text"": ""μισ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""m"", ""i"", ""s""], ""flags"": [""position_ambiguous""]}, {""text"": ""θός"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""tʰ"", ""o"", ""s""], ""flags"": []}, {""text"": ""τοι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""t"", ""oi""], ""flags"": []}, {""text"": ""τὸ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""t"", ""o""], ""flags"": []}, {""text"": ""φί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""pʰ"", ""i""], ""flags"": []}, {""text"": ""λη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""l"", ""ɛː""], ""flags"": []}, {""text"": ""μα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""m"", ""a""], ""flags"": []}, {""text"": ""τὸ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""t"", ""o""], ""flags"": []}, {""text"": ""Κύπ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""k"", ""y"", ""p""], ""flags"": [""position_ambiguous""]}, {""text"": ""ρι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""r"", ""i""], ""flags"": []}, {""text"": ""δος·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""d"", ""o"", ""s""], ""flags"": []}, {""text"": ""ἢν"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""ɛː"", ""n""], ""flags"": []}, {""text"": ""δ’ἀ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""d"", ""a""], ""flags"": []}, {""text"": ""γά"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""g"", ""a""], ""flags"": []}, {""text"": ""γῃ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""g"", ""ɛːi""], ""flags"": []}, {""text"": ""νιν,"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""n"", ""i"", ""n""], ""flags"": [""line_final_ambiguous""]}]","μισθός τοι τὸ φίλημα τὸ Κύπριδος· ἢν δ’ ἀγάγῃ νιν,"
Eros Drapeta,1,5,mo1_1_5,16,uː # g y m . n oˋ n # t oˋ # pʰ iˊ . l ɛː . m a # t yˋ # d ɔːˆ # k s eˊ . n e # k aiˋ # p l eˊ . o n # h e . k s eːˆ s,LLLSSLSSLSSLSSLL,00GGA00GCA0GA00C,1122233344455566,1:position_ambiguous,"[{""text"": ""οὐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""uː""], ""flags"": []}, {""text"": ""γυμ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""g"", ""y"", ""m""], ""flags"": [""position_ambiguous""]}, {""text"": ""νὸν"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""n"", ""o"", ""n""], ""flags"": []}, {""text"": ""τὸ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""t"", ""o""], ""flags"": []}, {""text"": ""φί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""pʰ"", ""i""], ""flags"": []}, {""text"": ""λη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""l"", ""ɛː""], ""flags"": []}, {""text"": ""μα,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""m"", ""a""], ""flags"": []}, {""text"": ""τὺ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""t"", ""y""], ""flags"": []}, {""text"": ""δ’ὦ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 4, ""ph"": [""d"", ""ɔː""], ""flags"": []}, {""text"": ""ξέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""k"", ""s"", ""e""], ""flags"": []}, {""text"": ""νε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""n"", ""e""], ""flags"": []}, {""text"": ""καὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""k"", ""ai""], ""flags"": []}, {""text"": ""πλέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""p"", ""l"", ""e""], ""flags"": []}, {""text"": ""ον"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""o"", ""n""], ""flags"": []}, {""text"": ""ἑ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""h"", ""e""], ""flags"": []}, {""text"": ""ξεῖς."", ""q"": ""L"", ""acc"": ""C"", ""foot"": 6, ""ph"": [""k"", ""s"", ""eː"", ""s""], ""flags"": []}]","οὐ γυμνὸν τὸ φίλημα, τὺ δ’ ὦ ξένε καὶ πλέον ἑξεῖς."
Eros Drapeta,1,6,mo1_1_6,17,eˊ s . t i # d o # p aiˆ s # p e . r iˊ . s aː . m o s # e n # eːˊ . k o . s i # p ai . s iˋ # m aˊ . tʰ oi z # n i n,LSSLSSLSSLSSLSSLL,A00C0A000A000GA00,11122233344455566,16:line_final_ambiguous,"[{""text"": ""ἔσ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""e"", ""s""], ""flags"": []}, {""text"": ""τι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""t"", ""i""], ""flags"": []}, {""text"": ""δ’ὁ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""d"", ""o""], ""flags"": []}, {""text"": ""παῖς"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 2, ""ph"": [""p"", ""ai"", ""s""], ""flags"": []}, {""text"": ""πε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""ρί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""r"", ""i""], ""flags"": []}, {""text"": ""σα"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""s"", ""aː""], ""flags"": []}, {""text"": ""μος·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""m"", ""o"", ""s""], ""flags"": []}, {""text"": ""ἐν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e"", ""n""], ""flags"": []}, {""text"": ""εἴ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""eː""], ""flags"": []}, {""text"": ""κο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""k"", ""o""], ""flags"": []}, {""text"": ""σι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""παι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""p"", ""ai""], ""flags"": []}, {""text"": ""σὶ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""μά"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""m"", ""a""], ""flags"": []}, {""text"": ""θοις"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""tʰ"", ""oi"", ""z""], ""flags"": []}, {""text"": ""νιν."", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""n"", ""i"", ""n""], ""flags"": [""line_final_ambiguous""]}]",ἔστι δ’ ὁ παῖς περίσαμος· ἐν εἴκοσι παισὶ μάθοις νιν.
Eros Drapeta,1,7,mo1_1_7,16,kʰ r ɔːˆ . t a # m eˋ n # uː # l euˊ . k o s # p y . r iˋ # d eːˊ . k e . l o s # oˊ m . m a . t a # d au . t ɔːiˆ,LSSLLLSSLSSLSSLL,C0G0A00GA00A000C,1112233344455566,,"[{""text"": ""χρῶ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 1, ""ph"": [""kʰ"", ""r"", ""ɔː""], ""flags"": []}, {""text"": ""τα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""μὲν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 1, ""ph"": [""m"", ""e"", ""n""], ""flags"": []}, {""text"": ""οὐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""uː""], ""flags"": []}, {""text"": ""λεύ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""l"", ""eu""], ""flags"": []}, {""text"": ""κος,"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""k"", ""o"", ""s""], ""flags"": []}, {""text"": ""πυ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""p"", ""y""], ""flags"": []}, {""text"": ""ρὶ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""r"", ""i""], ""flags"": []}, {""text"": ""δ’εἴ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""d"", ""eː""], ""flags"": []}, {""text"": ""κε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""k"", ""e""], ""flags"": []}, {""text"": ""λος·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""l"", ""o"", ""s""], ""flags"": []}, {""text"": ""ὄμ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""o"", ""m""], ""flags"": []}, {""text"": ""μα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""m"", ""a""], ""flags"": []}, {""text"": ""τα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""δ’αὐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""d"", ""au""], ""flags"": []}, {""text"": ""τῷ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 6, ""ph"": [""t"", ""ɔːi""], ""flags"": []}]","χρῶτα μὲν οὐ λεύκος, πυρὶ δ’ εἴκελος· ὄμματα δ’ αὐτῷ"
Eros Drapeta,1,8,mo1_1_8,17,d r iː . m yˊ . l a # k aiˋ # pʰ l o . g oˊ . e n . t a # k a . k aiˋ # pʰ r eˊ . n e s # h aː . d yˋ # l aˊ . l ɛː . m a,LSSLSSLSSLSSLSSLL,0A0G0A000GA00GA00,11122233344455566,16:line_final_ambiguous,"[{""text"": ""δρι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""d"", ""r"", ""iː""], ""flags"": []}, {""text"": ""μύ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""m"", ""y""], ""flags"": []}, {""text"": ""λα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""l"", ""a""], ""flags"": []}, {""text"": ""καὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""k"", ""ai""], ""flags"": []}, {""text"": ""φλο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""pʰ"", ""l"", ""o""], ""flags"": []}, {""text"": ""γό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""g"", ""o""], ""flags"": []}, {""text"": ""εν"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e"", ""n""], ""flags"": []}, {""text"": ""τα·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""κα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""k"", ""a""], ""flags"": []}, {""text"": ""καὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""k"", ""ai""], ""flags"": []}, {""text"": ""φρέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""pʰ"", ""r"", ""e""], ""flags"": []}, {""text"": ""νες,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""n"", ""e"", ""s""], ""flags"": []}, {""text"": ""ἁ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""h"", ""aː""], ""flags"": []}, {""text"": ""δὺ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""d"", ""y""], ""flags"": []}, {""text"": ""λά"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""l"", ""a""], ""flags"": []}, {""text"": ""λη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""l"", ""ɛː""], ""flags"": []}, {""text"": ""μα·"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""m"", ""a""], ""flags"": [""line_final_ambiguous""]}]","δριμύλα καὶ φλογόεντα· κακαὶ φρένες, ἁδὺ λάλημα·"
Eros Drapeta,1,9,mo1_1_9,16,uː # g aˋ r # iˊ . s o n # n o . eˊ . eː # k aiˋ # pʰ tʰ eˊ ŋ . g e . t ai # h ɔː z # m eˊ . l i # pʰ ɔː . n aˊ,LSSLSSLLLSSLSSLL,0GA00A0GA000A00A,1112223344455566,10:correption;15:line_final_ambiguous,"[{""text"": ""οὐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""uː""], ""flags"": []}, {""text"": ""γὰρ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 1, ""ph"": [""g"", ""a"", ""r""], ""flags"": []}, {""text"": ""ἴ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""i""], ""flags"": []}, {""text"": ""σον"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""s"", ""o"", ""n""], ""flags"": []}, {""text"": ""νο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""n"", ""o""], ""flags"": []}, {""text"": ""έ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""e""], ""flags"": []}, {""text"": ""ει"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""eː""], ""flags"": []}, {""text"": ""καὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""k"", ""ai""], ""flags"": []}, {""text"": ""φθέγ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""pʰ"", ""tʰ"", ""e"", ""ŋ""], ""flags"": []}, {""text"": ""γε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""g"", ""e""], ""flags"": []}, {""text"": ""ται·"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""t"", ""ai""], ""flags"": [""correption""]}, {""text"": ""ὡς"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""h"", ""ɔː"", ""z""], ""flags"": []}, {""text"": ""μέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""λι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""l"", ""i""], ""flags"": []}, {""text"": ""φω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""pʰ"", ""ɔː""], ""flags"": []}, {""text"": ""νά,"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""n"", ""a""], ""flags"": [""line_final_ambiguous""]}]","οὐ γὰρ ἴσον νοέει καὶ φθέγγεται· ὡς μέλι φωνά,"
Eros Drapeta,1,10,mo1_1_10,17,h ɔː z # d eˋ # kʰ o . l aːˋ # n oˊ . o s # e s . t iˋ n # a . n aːˊ . m e . r o s # ɛː . p e . r o . p eu . t aˊ s,LSSLSSLSSLSSLSSLL,0G0GA00G0A000000A,11122233344455566,16:line_final_ambiguous,"[{""text"": ""ὡς"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""h"", ""ɔː"", ""z""], ""flags"": []}, {""text"": ""δὲ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 1, ""ph"": [""d"", ""e""], ""flags"": []}, {""text"": ""χο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""kʰ"", ""o""], ""flags"": []}, {""text"": ""λὰ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""l"", ""aː""], ""flags"": []}, {""text"": ""νό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""n"", ""o""], ""flags"": []}, {""text"": ""ος"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""o"", ""s""], ""flags"": []}, {""text"": ""ἐσ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e"", ""s""], ""flags"": []}, {""text"": ""τὶν·"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 3, ""ph"": [""t"", ""i"", ""n""], ""flags"": []}, {""text"": ""ἀ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""a""], ""flags"": []}, {""text"": ""νά"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""n"", ""aː""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""ρος,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""r"", ""o"", ""s""], ""flags"": []}, {""text"": ""ἠ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""ɛː""], ""flags"": []}, {""text"": ""πε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""ρο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""r"", ""o""], ""flags"": []}, {""text"": ""πευ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""p"", ""eu""], ""flags"": []}, {""text"": ""τάς,"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""t"", ""a"", ""s""], ""flags"": [""line_final_ambiguous""]}]","ὡς δὲ χολὰ νόος ἐστὶν· ἀνάμερος, ἠπεροπευτάς,"
