work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Hymn to Zeus,1,1,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,0,,η:L:nature ο:S:nature ε:S:nature οι:L:nature ι:S:lexicon ε:S:nature α:L:paroxytone_short_ultima ο:S:nature α:S:lexicon α:L:lexicon ο:L:position η:L:nature ι:S:properispomenon α:S:lexicon ει:L:nature ει:L:line_final,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Hymn to Zeus,1,2,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,0,,ω:L:nature ι:S:lexicon ο:S:nature η:L:nature ε:S:nature ο:S:nature αυ:L:nature ο:S:nature α:S:lexicon ει:L:nature ε:S:nature α:S:lexicon αι:L:nature ε:S:nature α:S:lexicon α:L:lexicon α:L:lexicon,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Hymn to Zeus,1,3,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,5,,η:L:nature α:S:unknown ο:S:nature ω:L:nature ε:S:nature α:S:unknown η:L:nature α:S:properispomenon ι:S:unknown α:L:position ο:S:nature ο:S:nature ου:L:nature α:S:unknown ι:S:unknown η:L:nature ι:L:antepenult_accent,"Πηλαγόνων ἐλατῆρα, δικασπόλον οὐρανίδῃσι;"
Hymn to Zeus,1,4,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,2,,ω:L:nature+position αι:L:nature ι:L:lexicon ι:L:position αι:L:nature ο:S:nature α:S:unknown ει:L:nature ο:S:nature ε:S:nature η:L:nature ε:S:nature υ:S:unknown αι:L:nature ο:L:line_final,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Hymn to Zeus,1,5,True,LLLSSLSSLSSLLLL,LLLSSLSSLSSLLLL,1.5,1,0,,ε:L:position οι:L:nature η:L:nature α:S:lexicon α:S:lexicon υ:L:lexicon ο:S:nature ε:S:nature ει:L:nature ε:S:nature ο:S:nature α:L:position η:L:nature ι:L:position ο:L:line_final,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Hymn to Zeus,1,6,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,2,,ευ:L:nature ε:S:nature ε:S:nature ι:L:unknown αι:L:nature οι:L:nature ι:S:antepenult_accent ε:S:nature ου:L:nature ε:S:nature ι:S:unknown α:L:lexicon ι:S:lexicon ε:S:nature ε:L:position αι:L:line_final,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Hymn to Zeus,1,7,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,1.5,1,2,,ευ:L:nature ε:S:nature ε:S:nature α:L:position α:S:unknown ι:S:unknown η:L:nature ο:S:nature ε:S:nature οι:L:nature α:S:lexicon ε:S:nature ε:L:position ευ:L:nature α:L:position ο:L:line_final,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Hymn to Zeus,1,8,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,0,,η:L:nature ε:S:nature α:S:lexicon ει:L:nature+position ευ:L:nature+position αι:L:nature αι:L:nature α:L:lexicon α:S:lexicon ο:S:nature ω:L:nature α:S:lexicon α:S:lexicon ει:L:nature ο:L:line_final,"Κρῆτες ἀεὶ ψεῦσται· καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Hymn to Zeus,1,9,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,η:L:nature ε:S:nature ε:S:nature ε:L:position η:L:nature α:L:position ο:S:nature υ:S:lexicon ου:L:nature α:S:lexicon ε:S:nature ε:L:position ι:S:unknown α:S:lexicon αι:L:nature ει:L:line_final,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Hymn to Zeus,1,10,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,2,,ε:L:position ε:S:nature ε:S:nature α:L:position α:S:unknown ι:S:unknown η:L:nature ει:L:nature η:L:nature ε:S:nature ε:S:nature η:L:nature ι:S:lexicon α:S:lexicon ι:L:position α:L:lexicon,"ἐν δέ σε Παρρασίῃ Ῥείη τέκεν, ἧχι μάλιστα"
