work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Eros Drapeta,1,1,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,α:L:unknown υ:L:paroxytone_short_ultima ι:L:lexicon ο:S:nature ε:S:nature ω:L:nature α:S:antepenult_accent ο:S:nature υι:L:nature ε:S:nature α:S:lexicon α:L:position ο:S:nature ε:S:nature ω:L:nature+position ει:L:line_final,Ἁ Κύπρις τὸν Ἔρωτα τὸν υἱέα μακρὸν ἐβώστρει·
Eros Drapeta,1,2,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,2,override,ο:L:position ι:S:lexicon ε:S:nature ι:L:lexicon ι:S:unknown ο:S:nature οι:L:nature ι:S:antepenult_accent α:S:unknown ω:L:nature ε:S:nature ο:S:nature ει:L:nature ε:S:nature ε:S:nature ω:L:nature α:L:antepenult_accent,"’ ὅστις ἐνὶ τριόδοισι πλανώμενον εἶδεν Ἔρωτα,"
Eros Drapeta,1,3,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,5,,α:L:unknown ε:S:nature ι:S:unknown α:L:unknown ε:S:nature ο:S:nature ε:L:position ι:S:lexicon ο:S:nature α:L:unknown υ:L:unknown α:L:position ε:S:nature α:S:lexicon ε:L:position ει:L:line_final,δραπετίδας ἐμός ἐστιν· ὁ μανύσας γέρας ἑξεῖ·
Eros Drapeta,1,4,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,4,,ι:L:position ο:L:position οι:L:nature ο:S:nature ι:S:unknown η:L:nature α:S:antepenult_accent ο:S:nature υ:L:position ι:S:unknown ο:S:nature η:L:nature+position α:S:unknown α:S:unknown η:L:nature ι:L:line_final,"μισθός τοι τὸ φίλημα τὸ Κύπριδος· ἢν δ’ ἀγάγῃ νιν,"
Eros Drapeta,1,5,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,ου:L:nature υ:L:position ο:L:position ο:S:nature ι:S:unknown η:L:nature α:S:antepenult_accent υ:S:unknown ω:L:nature+position ε:S:nature ε:S:nature αι:L:nature+position ε:S:nature ο:S:nature ε:L:position ει:L:line_final,"οὐ γυμνὸν τὸ φίλημα, τὺ δ’ ὦ ξένε καὶ πλέον ἑξεῖς."
Eros Drapeta,1,6,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,ε:L:position ι:S:lexicon ο:S:nature αι:L:nature+position ε:S:nature ι:S:unknown α:L:unknown ο:S:nature ε:S:nature ει:L:nature ο:S:nature ι:S:lexicon αι:L:nature ι:S:lexicon α:S:paroxytone_short_ultima οι:L:nature+position ι:L:line_final,ἔστι δ’ ὁ παῖς περίσαμος· ἐν εἴκοσι παισὶ μάθοις νιν.
Eros Drapeta,1,7,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ω:L:nature α:S:lexicon ε:S:nature ου:L:nature ευ:L:nature ο:L:position υ:S:lexicon ι:S:lexicon ει:L:nature ε:S:nature ο:S:nature ο:L:position α:S:lexicon α:S:lexicon αυ:L:nature ω:L:line_final,"χρῶτα μὲν οὐ λεύκος, πυρὶ δ’ εἴκελος· ὄμματα δ’ αὐτῷ"
Eros Drapeta,1,8,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,6,,ι:L:unknown υ:S:unknown α:S:unknown αι:L:nature+position ο:S:nature ο:S:nature ε:L:position α:S:antepenult_accent α:S:lexicon αι:L:nature+position ε:S:nature ε:S:nature α:L:unknown υ:S:unknown α:S:unknown η:L:nature α:L:antepenult_accent,"δριμύλα καὶ φλογόεντα· κακαὶ φρένες, ἁδὺ λάλημα·"
Eros Drapeta,1,9,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,1.5,1,0,correption;lexicon_overridden,ου:L:nature α:S:lexicon ι:S:lexicon ο:L:position ο:S:nature ε:S:nature ει:L:nature αι:L:nature+position ε:L:position ε:S:nature αι:S:nature ω:L:nature+position ε:S:nature ι:S:lexicon ω:L:nature α:L:line_final,"οὐ γὰρ ἴσον νοέει καὶ φθέγγεται· ὡς μέλι φωνά,"
Eros Drapeta,1,10,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,3,,ω:L:nature+position ε:S:nature ο:S:nature α:L:unknown ο:S:nature ο:S:nature ε:L:position ι:S:lexicon α:S:unknown α:L:unknown ε:S:nature ο:S:nature η:L:nature ε:S:nature ο:S:nature ευ:L:nature α:L:line_final,"ὡς δὲ χολὰ νόος ἐστὶν· ἀνάμερος, ἠπεροπευτάς,"
Eros Drapeta,1,11,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,3,,ου:L:nature ε:S:nature α:S:unknown α:L:unknown ευ:L:nature ω:L:nature+position ο:S:nature ι:S:unknown ο:L:position ε:S:nature ο:S:nature α:L:position ι:S:lexicon α:S:lexicon αι:L:nature+position ω:L:line_final,"οὐδὲν ἀλαθεύων, δόλιον βρέφος, ἄγρια παίσδων."
Eros Drapeta,1,12,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,5,,ευ:L:nature+position ο:S:nature α:S:unknown ο:L:position ο:S:nature α:S:unknown α:L:unknown ο:S:nature ε:S:nature ει:L:nature ι:S:unknown α:S:unknown ο:L:position ο:S:nature ε:S:nature ω:L:nature ο:L:line_final,"εὐπλόκαμον τὸ κάρανον, ἔχει δ’ ἰταμὸν τὸ μέτωπον."
