work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
The Taking of Ilios,1,1,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ε:L:position α:S:lexicon ο:S:nature υ:L:position η:L:nature οι:L:nature ο:S:nature ε:S:nature α:L:position ο:S:nature ι:S:unknown ο:L:position ο:S:nature ε:S:nature οι:L:nature ο:L:line_final,τέρμα πολυκμήτοιο μεταχρόνιον πολέμοιο
The Taking of Ilios,1,2,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,1,,αι:L:nature ο:S:nature ο:S:nature α:L:position ει:L:nature η:L:nature ι:L:position η:L:nature α:S:unknown ο:S:nature ε:L:position ο:S:nature α:S:lexicon η:L:nature η:L:line_final,"καὶ λόχον, Ἀργείης ἱππήλατον ἔργον Ἀθήνης,"
The Taking of Ilios,1,3,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,αυ:L:nature ι:S:lexicon α:S:lexicon οι:L:nature+position ευ:L:nature ο:L:position ι:S:lexicon ο:S:nature υ:L:lexicon ι:S:lexicon α:S:lexicon υ:L:lexicon ο:S:nature α:S:unknown ει:L:nature α:L:properispomenon,αὐτίκα μοι σπεύδοντι πολὺν διὰ μῦθον ἀνεῖσα
The Taking of Ilios,1,4,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.5,1,1,correption,ε:L:position ε:S:nature ε:S:nature α:L:position ι:S:unknown ο:S:nature ει:L:nature α:S:antepenult_accent αι:S:nature α:L:position αι:L:nature η:L:nature ε:S:nature ι:S:lexicon α:L:lexicon ω:L:line_final,"ἔννεπε, Καλλιόπεια, καὶ ἀρχαίην ἔριν ἀνδρῶν"
The Taking of Ilios,1,5,True,LSSLSSLSSLLLSSLL,LSSLSSLSSLLLSSLL,0.0,1,2,,ε:L:position ι:S:unknown ε:S:nature ου:L:nature ο:S:nature ε:S:nature οι:L:nature ο:S:nature α:S:unknown ει:L:nature η:L:nature υ:L:lexicon ο:S:nature α:S:lexicon οι:L:nature η:L:line_final,κεκριμένου πολέμοιο ταχείῃ λῦσον ἀοιδῇ.
The Taking of Ilios,1,6,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,4,,η:L:nature η:L:nature ε:L:position ε:S:nature α:S:unknown οι:L:nature ο:S:nature υ:S:unknown ι:L:position ο:S:nature ε:S:nature ου:L:nature υ:S:unknown α:S:unknown α:L:position ο:L:line_final,ἤδη μὲν δεκάτοιο κυλινδομένου λυκάβαντος
The Taking of Ilios,1,7,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,η:L:nature α:S:unknown ε:S:nature η:L:nature ε:S:nature α:S:lexicon υ:L:position ο:S:nature ο:S:nature ω:L:nature α:S:lexicon ο:S:nature η:L:nature ο:S:nature ε:S:nature υ:L:unknown ω:L:line_final,γηραλέη τετάνυστο φόνων ἀκόρητος Ἐνυὼ
The Taking of Ilios,1,8,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,0,,ω:L:nature ι:S:lexicon ε:S:nature αι:L:nature α:S:lexicon α:S:lexicon οι:L:nature ι:S:lexicon ε:S:nature αι:L:nature ο:S:nature ε:S:nature ω:L:nature+position α:S:lexicon α:S:lexicon ω:L:nature ω:L:line_final,Τρωσί τε καὶ Δαναοῖσιν· ἐναιρομένων δ’ ἄρα φωτῶν
The Taking of Ilios,1,9,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,2,,ου:L:nature α:S:lexicon α:S:lexicon ε:L:position η:L:nature ει:L:nature+position ι:S:unknown ε:S:nature ω:L:nature+position ε:L:position η:L:nature+position ο:S:nature α:S:unknown ει:L:nature αι:L:line_final,"δούρατα κεκμήκει, ξιφέων δ’ ἔθνῃσκον ἀπειλαί,"
The Taking of Ilios,1,10,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,3,,ε:L:position υ:S:unknown ο:S:nature ω:L:nature η:L:nature ω:L:nature ε:S:nature ο:S:nature η:L:nature ι:S:unknown υ:S:unknown ε:L:position ε:S:nature ε:S:nature ι:L:position η:L:line_final,"σβέννυτο θωρήκων ἐνοπή, μινύθεσκε δ’ ἑλικτὴ"
