work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Idylls,1,1,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,6,correption,α:L:unknown υ:S:unknown ι:S:lexicon ο:L:position ι:S:unknown υ:S:unknown ι:L:position α:S:antepenult_accent αι:S:nature α:L:unknown ι:S:lexicon υ:S:unknown αι:L:nature ο:S:nature ε:S:nature η:L:nature α:L:line_final,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Idylls,1,2,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,1.5,1,3,correption;lexicon_overridden,α:L:lexicon ο:S:nature ι:S:lexicon αι:L:nature+position α:L:unknown αι:L:nature ι:S:properispomenon ε:S:nature ι:L:position ε:S:nature αι:S:nature α:L:unknown υ:S:unknown ε:S:nature αι:L:nature υ:L:line_final,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Idylls,1,3,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,υ:L:unknown ι:L:paroxytone_short_ultima ε:L:position ε:S:nature α:S:lexicon α:L:circumflex α:S:properispomenon ο:S:nature ευ:L:nature ε:S:nature ο:S:nature α:L:circumflex ο:S:nature α:S:unknown οι:L:nature η:L:line_final,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Idylls,1,4,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,αι:L:nature α:L:unknown η:L:nature ο:S:nature ε:S:nature η:L:nature ε:S:nature α:S:lexicon ο:L:position α:S:paroxytone_short_ultima ο:S:nature αι:L:nature α:S:lexicon υ:S:unknown α:L:position η:L:line_final,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Idylls,1,5,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,2,,αι:L:nature α:L:unknown αι:L:nature α:S:lexicon α:S:lexicon η:L:nature η:L:nature ο:L:position ε:S:nature α:S:lexicon ε:L:position ε:S:nature α:S:unknown α:L:position ει:L:line_final,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Idylls,1,6,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,6,lexicon_overridden,α:L:unknown ι:S:unknown α:S:unknown ο:L:position ι:S:unknown α:S:unknown ω:L:nature ε:S:nature α:S:lexicon ο:L:position ε:S:nature α:S:lexicon ε:L:position ε:S:nature α:S:unknown ε:L:position η:L:line_final,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Idylls,1,7,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,α:L:unknown ι:S:unknown ο:S:nature ω:L:nature οι:L:nature η:L:nature+position ο:S:nature ε:S:nature ο:L:position ε:S:nature ο:S:nature η:L:nature ο:S:nature α:S:unknown α:L:unknown ε:L:line_final,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Idylls,1,8,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,0,correption,η:L:nature α:S:lexicon ο:S:nature α:L:circumflex ε:L:position α:L:position α:S:lexicon α:S:lexicon ει:L:nature ε:S:nature αι:S:nature υ:L:position ο:S:nature ε:S:nature υ:L:lexicon ω:L:line_final,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Idylls,1,9,True,LLLLLLLSSLSSLL,LLLLLLLSSLSSLL,0.0,1,5,,αι:L:nature α:L:unknown αι:L:nature οι:L:nature αι:L:nature α:L:unknown οι:L:nature ι:S:unknown α:S:unknown ω:L:nature ο:S:nature α:S:unknown ω:L:nature+position αι:L:line_final,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Idylls,1,10,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,2,5,,α:L:position α:L:unknown υ:L:unknown α:S:unknown ι:S:unknown α:L:position α:L:position η:L:nature ε:S:nature α:S:lexicon αι:L:nature ε:S:nature α:S:unknown ε:L:position η:L:line_final,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Idylls,1,11,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,5,,η:L:nature αι:L:nature α:L:position α:S:unknown α:S:unknown ει:L:nature+position υ:S:unknown ε:S:nature α:L:unknown ο:S:nature ι:S:unknown υ:L:position ε:S:nature ο:S:nature α:L:position η:L:line_final,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Idylls,1,12,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.0,1,1,,η:L:nature+position ο:S:nature ι:S:lexicon α:L:circumflex υ:L:position α:L:circumflex η:L:nature αι:L:nature ο:S:nature ε:S:nature ει:L:nature ε:S:nature α:S:unknown ι:L:position α:L:line_final,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Idylls,1,13,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ω:L:nature+position ο:S:nature α:S:unknown α:L:position ε:L:position ου:L:nature ο:S:nature ε:S:nature ω:L:nature ο:S:nature ο:S:nature αι:L:nature ε:S:nature υ:S:lexicon ι:L:lexicon αι:L:line_final,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Idylls,1,14,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,1,,υ:L:unknown ι:L:paroxytone_short_ultima ε:L:position α:L:lexicon αι:L:nature α:S:lexicon ε:S:nature ω:L:nature ε:L:position ω:L:nature ε:S:nature ο:S:nature ευ:L:nature ω:L:line_final,συρίσδεν; τὰς δ’ αἶγας ἐγὼν ἐν τῷδε νομευσῶ.
Idylls,1,15,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,1,,ου:L:nature ε:S:nature ι:S:lexicon ω:L:nature οι:L:nature η:L:nature+position ο:S:nature ε:S:nature α:L:position ι:S:unknown ο:S:nature ου:L:nature ε:S:nature ι:S:lexicon α:L:paroxytone_short_ultima ι:L:lexicon,"οὐ θέμις ὦ ποιμὴν τὸ μεσαμβρινόν, οὐ θέμις ἄμμιν"
Idylls,1,16,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,2,,υ:L:unknown ι:L:paroxytone_short_ultima ε:L:position ο:L:position α:L:circumflex α:S:properispomenon ε:S:nature οι:L:nature α:S:unknown ε:S:nature η:L:nature α:S:lexicon α:S:lexicon α:L:position α:L:line_final,συρίσδεν. τὸν Πᾶνα δεδοίκαμες· ἦ γὰρ ἀπ’ ἄγρας
Idylls,1,17,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,1.5,1,4,correption,α:L:unknown ι:S:unknown α:S:unknown ε:L:position α:L:unknown ω:L:nature α:L:position αυ:L:nature ε:S:nature αι:S:nature ε:L:position ι:S:lexicon ε:S:nature ι:L:position ο:L:line_final,"τανίκα κεκμακὼς ἀμπαύεται· ἔστι δὲ πικρός,"
Idylls,1,18,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,4,correption,αι:L:nature οι:S:nature α:S:lexicon ει:L:nature+position ι:L:lexicon ει:L:nature α:S:lexicon ο:S:nature α:L:unknown ο:S:nature ι:S:lexicon ι:L:unknown ι:S:unknown α:S:unknown η:L:nature αι:L:line_final,καί οἱ ἀεὶ δριμεῖα χολὰ ποτὶ ῥινὶ κάθηται.
Idylls,1,19,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,α:L:position α:S:lexicon υ:S:unknown α:L:lexicon η:L:nature υ:L:position ι:S:unknown α:S:lexicon α:L:position ι:S:unknown ο:S:nature α:L:paroxytone_short_ultima ε:S:nature α:S:unknown ει:L:nature ε:L:line_final,ἀλλὰ τὺ γὰρ δὴ Θύρσι τὰ Δάφνιδος ἄλγε’ ἀείδες
Idylls,1,20,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,1,,αι:L:nature α:L:circumflex ου:L:nature ο:S:nature ι:S:unknown α:L:circumflex ε:S:nature ι:S:lexicon ο:L:position ε:S:nature ο:S:nature ι:L:lexicon ε:S:nature ο:S:nature οι:L:nature α:L:line_final,"καὶ τᾶς βουκολικᾶς ἐπὶ τὸ πλέον ἵκεο μοίσας,"
Idylls,1,21,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,1.0,1,2,cluster_short,ευ:L:nature υ:S:lexicon ο:S:nature α:L:position ε:S:nature ε:S:nature α:L:unknown ε:L:position ω:L:nature ε:S:nature α:S:antepenult_accent ω:L:nature ε:S:position ι:S:unknown η:L:nature ω:L:line_final,"δεῦρ’ ὑπὸ τὰν πτελέαν ἑσδώμεθα, τῶ τε Πριήπω"
Idylls,1,22,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,1,,αι:L:nature α:L:circumflex α:L:unknown αι:L:nature α:L:circumflex α:S:lexicon ε:S:nature α:L:position ι:S:lexicon ο:S:nature α:L:nature ε:S:nature ο:S:nature ω:L:nature ο:L:line_final,"καὶ τᾶν Κραναιᾶν κατεναντίον, ᾇπερ ὁ θῶκος"
Idylls,1,23,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,2,,η:L:nature ο:S:nature ο:S:nature οι:L:nature ε:S:nature ι:S:unknown ο:L:position αι:L:nature αι:L:nature+position υ:S:lexicon ε:S:nature αι:L:nature ε:S:nature α:S:unknown ει:L:nature η:L:line_final,τῆνος ὁ ποιμενικὸς καὶ ταὶ δρύες. αἰ δέ κ’ ἀείσῃς
Idylls,1,24,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,5,,ω:L:nature ο:S:nature α:S:unknown ο:L:position ι:S:unknown υ:S:unknown α:L:unknown ε:S:nature ο:S:nature ι:L:lexicon ο:S:nature ι:S:unknown α:L:nature α:S:properispomenon ε:S:nature ι:L:position ω:L:line_final,"ὡς ὅκα τὸν Λιβύαθε ποτὶ Χρόμιν ᾆσας ἐρίσδων,"
Idylls,1,25,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,4,,αι:L:nature α:S:lexicon ε:S:nature οι:L:nature ω:L:nature ω:L:nature ι:S:unknown υ:S:unknown α:L:unknown ο:S:nature ο:S:nature ε:L:position ι:S:lexicon α:S:unknown ε:L:position αι:L:line_final,"αἶγα δέ τοι δωσῶ διδυματόκον ἐς τρὶς ἀμέλξαι,"
Idylls,1,26,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,2.5,1,2,correption;lexicon_overridden,α:L:lexicon υ:S:lexicon ε:S:nature οι:L:nature ε:S:nature ι:S:unknown ω:L:nature+position ο:S:nature α:S:unknown ε:L:position ε:S:nature αι:S:nature ε:L:position υ:S:lexicon ο:S:nature ε:L:position α:L:line_final,"ἃ δύ’ ἔχοισ’ ἐρίφως ποταμέλγεται ἐς δύο πέλλας,"
Idylls,1,27,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,4,,αι:L:nature α:S:lexicon υ:S:lexicon ι:L:position υ:S:unknown ι:S:unknown ο:L:position ε:L:position υ:L:position ε:S:nature ο:S:nature α:L:unknown ε:S:nature ι:S:unknown η:L:nature ω:L:line_final,"καὶ βαθὺ κισσύβιον κεκλυσμένον ἁδέι κηρῷ,"
Idylls,1,28,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,α:L:position ω:L:nature ε:L:position ε:S:nature ο:S:nature ευ:L:nature ε:S:nature ε:S:nature ι:L:lexicon υ:S:unknown α:S:unknown οι:L:nature ο:S:nature ο:S:nature ο:L:position ο:L:line_final,"ἀμφῶες, νεοτευχές, ἔτι γλυφάνοιο ποτόσδον."
Idylls,1,29,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,0.5,1,3,correption,ω:L:nature ε:S:nature ι:S:lexicon ε:L:position ει:L:nature η:L:nature α:L:unknown υ:L:unknown ε:S:nature αι:S:nature υ:L:position ο:S:nature ι:S:unknown ι:L:position ο:L:line_final,"τῶ περὶ μὲν χείλη μαρύεται ὑψόθι κισσός,"
Idylls,1,30,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,2,,ι:L:position ο:S:nature ε:S:nature ι:L:position υ:L:unknown ω:L:nature ε:S:nature ο:S:nature ι:L:lexicon ε:S:nature ο:S:nature α:L:unknown ε:S:nature α:S:lexicon αυ:L:nature ο:L:line_final,κισσὸς ἑλιχρύσῳ κεκονιμένος· ἁ δὲ κατ’ αὐτὸν
Idylls,1,31,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,2.0,1,1,correption,α:L:position ω:S:nature ε:S:nature ι:L:position ει:L:nature ει:L:nature αι:S:nature α:S:unknown α:L:position ο:S:nature ε:S:nature α:L:position ο:S:nature ο:S:nature ε:L:position ι:L:antepenult_accent,καρπῷ ἕλιξ εἱλεῖται ἀγαλλομένα κροκόεντι.
Idylls,1,32,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,2,,ε:L:position ο:L:position ε:L:position ε:S:nature υ:S:unknown α:L:unknown ι:S:lexicon ε:S:nature ω:L:nature+position αι:L:nature α:L:position α:S:antepenult_accent ε:S:nature υ:L:lexicon αι:L:line_final,"ἔντοσθεν δὲ γυνά, τί θεῶν δαίδαλμα τέτυκται,"
Idylls,1,33,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,1.0,1,2,correption,α:L:position η:L:nature α:L:unknown ε:L:position ω:L:nature ε:S:nature αι:S:nature α:L:position υ:S:unknown ι:S:antepenult_accent α:L:lexicon ε:S:nature οι:S:nature α:L:lexicon ε:L:line_final,ἀσκητὰ πέπλῳ τε καὶ ἄμπυκι. πὰρ δέ οἱ ἄνδρες
Idylls,1,34,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,3,,α:L:lexicon ο:S:nature ε:S:nature ει:L:nature α:L:position ο:L:position ε:S:nature α:S:unknown οι:L:nature α:S:unknown ι:S:unknown α:L:position ο:S:nature ε:S:nature α:L:paroxytone_short_ultima ο:L:line_final,καλὸν ἐθειράζοντες ἀμοιβαδὶς ἄλλοθεν ἄλλος
Idylls,1,35,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,0,correption,ει:L:nature ει:L:nature ου:L:nature ε:S:nature ε:S:nature ε:L:position ι:S:lexicon α:S:lexicon ου:L:nature+position ε:S:nature ο:S:nature α:L:position ε:S:nature αι:S:nature αυ:L:nature α:L:circumflex,νεικείουσ’ ἐπέεσσι. τὰ δ’ οὐ φρενὸς ἅπτεται αὐτᾶς·
Idylls,1,36,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,1,correption,α:L:position ο:S:nature α:S:unknown ε:L:position η:L:nature ο:L:position ο:S:nature ι:S:lexicon ε:L:position ε:S:nature αι:S:nature α:L:lexicon α:S:lexicon ε:S:nature α:L:circumflex α:L:properispomenon,"ἀλλ’ ὁκὰ μὲν τῆνον ποτιδέρκεται ἄνδρα γελᾶσα,"
Idylls,1,37,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,0,,α:L:position ο:S:nature α:S:antepenult_accent αυ:L:nature ο:S:nature ι:S:lexicon ο:L:position ι:L:position ει:L:nature ο:S:nature ο:S:nature οι:L:nature υ:S:lexicon ε:S:nature ω:L:nature ο:L:line_final,ἄλλοκα δ’ αὖ ποτὶ τὸν ῥιπτεῖ νόον. οἱ δ’ ὑπ’ ἔρωτος
Idylls,1,38,True,LSSLSSLSSLSSLLLL,LSSLSSLSSLSSLLLL,1.5,1,2,,η:L:nature α:S:lexicon υ:S:unknown οι:L:nature ι:S:unknown ο:S:nature ω:L:nature+position ε:S:nature ε:S:nature ω:L:nature ι:S:lexicon α:S:lexicon ο:L:position ι:L:position ο:L:position ι:L:antepenult_accent,δηθὰ κυλοιδιόωντες ἐτώσια μοχθίζοντι.
Idylls,1,39,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,2,,οι:L:nature+position ε:S:nature ε:S:nature α:L:lexicon ι:L:unknown ευ:L:nature+position ε:S:nature ε:S:nature ω:L:nature+position ε:L:position α:L:unknown ε:S:nature ε:S:nature υ:L:lexicon αι:L:line_final,τοῖς δὲ μετὰ γριπεύς τε γέρων πέτρα τε τέτυκται
Idylls,1,40,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,2,,ε:L:position α:S:unknown ε:S:nature α:L:nature+position ευ:L:nature ω:L:nature+position ε:S:nature α:S:lexicon ι:L:position υ:S:unknown ο:S:nature ε:L:position ο:S:nature ο:S:nature ε:L:position ει:L:line_final,"λεπράς, ἐφ’ ᾇ σπεύδων μέγα δίκτυον ἐς βόλον ἕλκει"
Idylls,1,41,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,ο:L:position ε:L:position υ:L:position α:L:position ο:L:position ι:S:antepenult_accent ο:S:nature α:L:position ε:S:nature ο:S:nature α:L:lexicon ι:S:lexicon ε:S:nature οι:L:nature ω:L:line_final,"ὁ πρέσβυς, κάμνοντι τὸ καρτερὸν ἀνδρὶ ἐοικώς."
Idylls,1,42,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,2,,αι:L:nature η:L:nature+position ε:L:position υι:L:nature ω:L:nature+position ι:S:unknown ο:S:nature ο:L:position ε:S:nature ο:S:nature ε:L:position ο:S:nature ι:S:unknown ευ:L:nature ει:L:line_final,φαίης κεν γυίων νιν ὅσον σθένος ἐλλοπιεύειν·
Idylls,1,43,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,0,correption,ω:L:nature ε:S:nature οι:S:nature ω:L:nature η:L:nature α:L:position ι:S:antepenult_accent α:S:lexicon αυ:L:nature ε:S:nature α:S:lexicon α:L:position ο:S:nature ε:S:nature ι:L:circumflex ε:L:line_final,ὧδέ οἱ ᾠδήκαντι κατ’ αὐχένα πάντοθεν ἶνες
Idylls,1,44,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,αι:L:nature ο:S:nature ι:S:unknown ω:L:nature ε:S:nature ε:S:nature ο:L:position ι:S:lexicon ο:S:nature ε:L:position ε:S:nature ο:S:nature α:L:position ι:S:lexicon ο:S:nature α:L:unknown α:L:line_final,"καὶ πολιῷ περ ἐόντι, τὸ δὲ σθένος ἄξιον ἅβας."
Idylls,1,45,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,3,,υ:L:position ο:L:position ο:L:position ο:S:nature α:S:unknown ω:L:nature ε:S:nature α:S:unknown ι:L:position υ:L:unknown οι:L:nature ο:S:nature ε:S:nature ο:L:position ο:L:line_final,τυτθὸν δ’ ὅσσον ἄπωθεν ἁλιτρύτοιο γέροντος
Idylls,1,46,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,1.0,1,4,lexicon_overridden,υ:L:position αι:L:nature αι:L:nature+position α:S:unknown υ:S:unknown αι:L:nature ι:S:properispomenon α:S:lexicon ο:L:position ε:L:position ι:L:unknown ε:S:nature α:S:unknown ω:L:nature α:L:line_final,"πυρναίαις σταφυλαῖσι καλὸν βέβριθεν ἀλωά,"
Idylls,1,47,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,3,,α:L:unknown ο:S:nature ι:S:lexicon ο:L:position ι:L:lexicon ω:L:nature ο:S:nature ε:S:nature αι:L:nature α:S:unknown ι:S:unknown αι:L:nature ι:S:properispomenon υ:S:lexicon α:L:position ει:L:line_final,τὰν ὀλίγος τις κῶρος ἐφ’ αἱμασιαῖσι φυλάσσει
Idylls,1,48,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,η:L:nature ε:S:nature ο:S:nature α:L:position ι:S:lexicon ε:S:nature ι:L:position υ:S:lexicon α:S:unknown ω:L:nature ε:S:nature ε:S:nature α:L:unknown ε:S:nature α:S:lexicon ο:L:position ω:L:line_final,ἥμενος· ἀμφὶ δέ νιν δύ’ ἀλώπεκες ἁ μὲν ἀν’ ὄρχως
