work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Fall of Troy,1,1,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ευ:L:nature υ:S:lexicon ο:S:nature η:L:nature ει:L:nature ω:L:nature ι:S:antepenult_accent α:S:lexicon η:L:nature ε:S:nature ο:S:nature ει:L:nature ε:S:nature ο:S:nature ε:L:position ω:L:line_final,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Fall of Troy,1,2,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,1,correption,αι:L:nature ε:S:nature υ:S:lexicon η:L:nature α:S:unknown ε:S:nature α:L:position ε:S:nature αι:S:nature ο:L:position ε:S:nature α:S:lexicon αι:L:nature α:S:lexicon ε:S:nature ευ:L:nature ει:L:line_final,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Fall of Troy,1,3,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,0,cluster_short,η:L:nature ο:S:nature ε:S:position ω:L:nature ε:S:nature ε:S:nature ι:L:position ο:S:nature α:S:lexicon α:L:lexicon ι:S:lexicon α:S:lexicon οι:L:nature ο:S:nature ο:S:nature η:L:nature α:L:lexicon,δὴ τότε Τρῶες ἔμιμνον ἀνὰ Πριάμοιο πόληα
Fall of Troy,1,4,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,1,lexicon_overridden,ει:L:nature ι:S:lexicon ο:S:nature ε:L:position ε:S:nature ο:S:nature η:L:nature υ:S:lexicon α:S:unknown υ:L:position ο:S:nature ο:S:nature αι:L:nature α:S:lexicon ι:S:lexicon α:L:lexicon ο:L:line_final,δειδιότες μένος ἠῢ θρασύφρονος Αἰακίδαο·
Fall of Troy,1,5,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,2,,η:L:nature υ:S:lexicon ε:S:nature ι:L:lexicon υ:S:unknown ο:S:nature οι:L:nature ι:S:unknown ο:S:nature ε:L:position ο:S:nature υ:S:lexicon οι:L:nature ο:S:nature ε:S:nature ο:L:position ο:L:line_final,ἠΰτ’ ἐνὶ ξυλοχοισι βόες βλοσυροῖο λέοντος
Fall of Troy,1,6,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,0,correption,ε:L:position ε:S:nature ε:S:nature ου:L:nature ε:S:nature ε:S:nature ου:L:nature ι:S:lexicon ε:S:nature α:L:position ι:S:paroxytone_short_ultima αι:S:nature α:L:position α:S:lexicon ε:S:nature ου:L:nature αι:L:line_final,"ἐλθέμεν οὐκ ἐθέλουσιν ἐναντίαι, ἀλλὰ φέβουται"
Fall of Troy,1,7,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,1.5,1,2,correption;lexicon_overridden,ι:L:unknown η:L:nature ο:L:position ω:L:nature+position ου:L:nature αι:S:nature α:S:lexicon α:L:lexicon ω:L:nature η:L:nature ι:S:unknown α:S:antepenult_accent υ:L:lexicon α:L:lexicon,ἰληδὸν πτώσσουσαι ἀνὰ ῥωπήια πυκνά·
Fall of Troy,1,8,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,1,correption,ω:L:nature οι:S:nature α:S:lexicon α:L:lexicon ο:S:nature ι:S:lexicon ε:L:position ο:S:nature υ:S:lexicon ε:L:position ε:S:nature α:S:lexicon ο:L:position ι:S:unknown ου:S:nature α:L:lexicon α:L:lexicon,ὥς οἱ ἀνὰ πτολίεθρον ὑπέτρεσαν ὄβριμου ἄνδρα
Fall of Troy,1,9,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature α:S:lexicon ε:S:nature οι:L:nature+position ο:S:nature ε:S:nature ω:L:nature ο:S:nature ο:S:nature ω:L:nature α:S:lexicon ο:S:nature υ:L:lexicon ο:S:nature ι:S:unknown α:L:position ε:L:line_final,"μνησάμενοι προτέρων, ὁπόσων ἀπὸ θυμὸν ἴαψεν"
Fall of Troy,1,10,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,2.0,1,1,lexicon_overridden,υ:L:lexicon ω:L:nature ι:L:unknown αι:L:nature οι:L:nature ο:S:nature ε:S:nature ι:L:lexicon ο:S:nature ο:S:nature η:L:nature ι:S:lexicon α:S:lexicon α:L:position ου:L:line_final,"θύων Ἰδαίοιο περὶ προχοῇσι Σκαμάνδρου,"
