work,book,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Odyssey,1,1,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,2.5,1,0,correption;lexicon_overridden,α:L:lexicon α:S:lexicon οι:S:nature ε:L:position ε:S:nature ε:S:nature ου:L:nature α:S:lexicon ο:S:nature υ:L:position ο:S:nature ο:S:nature ο:L:position α:S:lexicon α:S:lexicon ο:L:position α:L:lexicon,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Odyssey,1,2,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,2.5,1,0,correption;lexicon_overridden,α:L:position η:S:nature ε:S:nature ει:L:nature+position οι:L:nature η:L:nature ι:S:lexicon ε:S:nature ο:L:position ο:S:nature ι:S:lexicon ε:L:position ο:S:nature ε:S:nature ε:L:position ε:L:line_final,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Odyssey,1,3,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,ο:L:position ω:L:nature+position α:L:position ω:L:nature ω:L:nature ι:S:lexicon ε:S:nature α:L:position ε:S:nature α:S:lexicon αι:L:nature ο:S:nature ο:S:nature ε:L:position ω:L:line_final,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Odyssey,1,4,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ο:L:position α:S:lexicon ο:S:nature ε:L:position ο:L:position ω:L:nature α:S:lexicon ε:S:nature α:L:position ε:S:nature α:S:lexicon ο:L:position α:S:lexicon α:S:lexicon υ:L:lexicon ο:L:line_final,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Odyssey,1,5,True,LSSLLLLLLLSSLL,LSSLLLLLLLSSLL,2.0,1,0,metrical_lengthening,α:L:position υ:S:lexicon ε:S:nature ο:L:nature η:L:nature+position ε:L:position υ:L:lexicon η:L:nature+position αι:L:nature ο:L:position ο:S:nature ε:S:nature αι:L:nature ω:L:line_final,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Odyssey,1,6,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,1,,α:L:position ου:L:nature ω:L:nature ε:S:nature α:S:lexicon ου:L:nature ε:L:position υ:L:lexicon α:S:lexicon ο:S:nature ι:L:unknown ε:S:nature ε:S:nature ο:L:position ε:L:line_final,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Odyssey,1,7,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,αυ:L:nature ω:L:nature+position α:L:lexicon ε:S:nature ε:S:nature η:L:nature ι:S:lexicon α:S:lexicon α:L:position α:S:lexicon ι:S:lexicon η:L:nature ι:S:lexicon ο:S:nature ο:L:position ο:L:line_final,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Odyssey,1,8,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.5,1,0,correption,η:L:nature ι:S:lexicon οι:S:nature οι:L:nature α:S:lexicon α:S:lexicon ου:L:nature υ:S:lexicon ε:S:nature ι:L:lexicon ο:S:nature ο:S:nature η:L:nature ε:S:nature ι:S:lexicon οι:L:nature ο:L:line_final,"νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο"
Odyssey,1,9,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature+position ι:S:lexicon ο:S:nature αυ:L:nature α:S:lexicon ο:S:nature οι:L:nature ι:S:lexicon α:S:lexicon ει:L:nature ε:S:nature ο:S:nature ο:L:position ι:S:unknown ο:S:nature η:L:nature α:L:lexicon,ἤσθιον· αὐτὰρ ὁ τοῖσιν ἀφείλετο νόστιμον ἦμαρ.
Odyssey,1,10,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.5,1,1,correption,ω:L:nature α:S:unknown ο:S:nature ε:L:position ε:S:nature ε:S:nature α:L:lexicon υ:S:lexicon α:S:lexicon ε:L:position ι:S:lexicon ο:S:nature ει:L:nature ε:S:nature αι:S:nature η:L:nature ι:L:lexicon,"τῶν ἁμόθεν γε, θεά, θύγατερ Διός, εἰπὲ καὶ ἡμῖν."
Odyssey,1,11,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,ε:L:position α:L:paroxytone_short_ultima οι:L:nature ε:L:position α:L:lexicon ε:S:nature ο:S:nature οι:L:nature υ:S:lexicon ο:S:nature αι:L:nature υ:S:lexicon ο:S:nature ε:L:position ο:L:line_final,"ἔνθ’ ἄλλοι μὲν πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον,"
